tDate,Country,Number,HolidayName
2022-12-26,Australia,1,Boxing Day
2022-12-26,Austria,1,St. Stephen`s Day
2022-12-26,Canada,1,Boxing Day
2022-12-26,Czechia,1,St. Stephen`s Day
2022-12-26,Denmark,1,2nd Christmas Day
2022-12-26,Estonia,1,Boxing Day
2022-12-26,Finland,1,Boxing Day
2022-12-26,Germany,1,Boxing Day
2022-12-26,Greece,1,Synaxis of the Mother of God
2022-12-26,Hungary,1,Second Day of Christmas
2022-12-26,Iceland,1,Second Day of Christmas
2022-12-26,Ireland,1,St. Stephen`s Day
2022-12-26,Italy,1,St. Stephen`s Day
2022-12-26,Latvia,1,Second Day of Christmas
2022-12-26,Lithuania,1,Second Day of Christmas
2022-12-26,Luxembourg,1,St Stephen`s Day
2022-12-26,Netherlands,1,Second Day of Christmas
2022-12-26,New Zealand,1,Boxing Day
2022-12-26,Norway,1,Boxing Day
2022-12-26,Poland,1,Second Day of Christmas
2022-12-26,Slovakia,1,St. Stephen`s Day
2022-12-26,Slovenia,1,Independence and Unity Day
2022-12-26,Sweden,1,Boxing Day
2022-12-26,United Kingdom,1,Boxing Day
2022-12-26,United States,1,Day off for Christmas Day
