tDate,Country,Number,HolidayName
2023-05-01,Austria,1,Labor Day / May Day
2023-05-01,Belgium,1,Labor Day / May Day
2023-05-01,Chile,1,Labor Day / May Day
2023-05-01,China,1,Labour Day
2023-05-01,Colombia,1,Labor Day / May Day
2023-05-01,Costa Rica,1,Labor Day / May Day
2023-05-01,Czechia,1,Labor Day / May Day
2023-05-01,Denmark,1,Labor Day / May Day
2023-05-01,Estonia,1,Labor Day
2023-05-01,Finland,1,May Day
2023-05-01,France,1,Labor Day / May Day
2023-05-01,Germany,1,May Day
2023-05-01,Greece,1,Labor Day / May Day
2023-05-01,Hungary,1,Labor Day / May Day
2023-05-01,Iceland,1,Labour Day
2023-05-01,Ireland,1,May Day
2023-05-01,Italy,1,Labor Day / May Day
2023-05-01,Latvia,1,Labour Day/May Day
2023-05-01,Latvia,2,Constituent Assembly Convocation Day
2023-05-01,Lithuania,1,Labour Day
2023-05-01,Luxembourg,1,Labor Day / May Day
2023-05-01,Mexico,1,Labor Day / May Day
2023-05-01,Norway,1,Labor day
2023-05-01,Poland,1,Labor Day / May Day
2023-05-01,Portugal,1,Labor Day / May Day
2023-05-01,Slovakia,1,Labor Day
2023-05-01,Slovenia,1,Labor Day / May Day
2023-05-01,Spain,1,Labor Day / May Day
2023-05-01,Sweden,1,May 1st
2023-05-01,Taiwan,1,Labor Day
2023-05-01,Turkey,1,Labor and Solidarity Day
2023-05-01,United Kingdom,1,Early May Bank Holiday
