 tDate, Area, Confirmeds,Deaths 
2021-05-10,강원,5,0
2021-05-10,경기,137,1
2021-05-10,강원,5,0
2021-05-10,경기,137,1
2021-05-10,경남,16,0
2021-05-10,경북,19,0
2021-05-10,광주,9,0
2021-05-10,대구,4,0
2021-05-10,대전,4,0
2021-05-10,부산,20,0
2021-05-10,서울,141,0
2021-05-10,세종,7,0
2021-05-10,울산,24,0
2021-05-10,인천,13,0
2021-05-10,전남,9,0
2021-05-10,전북,9,0
2021-05-10,제주,14,0
2021-05-10,충남,15,0
2021-05-10,충북,4,0
2021-05-10,대전,4,0
2021-05-10,경남,16,0
2021-05-10,경북,19,0
2021-05-10,광주,9,0
2021-05-10,대구,4,0
2021-05-10,부산,20,0
2021-05-10,서울,141,0
2021-05-10,세종,7,0
2021-05-10,울산,24,0
2021-05-10,인천,13,0
2021-05-10,전남,9,0
2021-05-10,전북,9,0
2021-05-10,제주,14,0
2021-05-10,충남,15,0
2021-05-10,충북,4,0
