 tDate, Area, Confirmeds,Deaths 
2021-07-07,강원,12,0
2021-07-07,강원,12,0
2021-07-07,경기,367,0
2021-07-07,경남,15,0
2021-07-07,경북,6,0
2021-07-07,광주,11,0
2021-07-07,대구,13,0
2021-07-07,대전,30,0
2021-07-07,부산,34,0
2021-07-07,서울,583,0
2021-07-07,세종,5,0
2021-07-07,울산,1,0
2021-07-07,인천,57,0
2021-07-07,전남,10,1
2021-07-07,전북,8,0
2021-07-07,제주,19,0
2021-07-07,충남,16,0
2021-07-07,충북,5,0
2021-07-07,경기,367,0
2021-07-07,대전,30,0
2021-07-07,경남,15,0
2021-07-07,경북,6,0
2021-07-07,광주,11,0
2021-07-07,대구,13,0
2021-07-07,부산,34,0
2021-07-07,서울,583,0
2021-07-07,세종,5,0
2021-07-07,울산,1,0
2021-07-07,인천,57,0
2021-07-07,전남,10,1
2021-07-07,전북,8,0
2021-07-07,제주,19,0
2021-07-07,충남,16,0
2021-07-07,충북,5,0
