 tDate, Area, Confirmeds,Deaths 
2021-02-18,강원,4,0
2021-02-18,경기,241,1
2021-02-18,강원,4,0
2021-02-18,경기,241,1
2021-02-18,경남,7,0
2021-02-18,경북,23,0
2021-02-18,광주,16,0
2021-02-18,대구,9,1
2021-02-18,대전,12,0
2021-02-18,부산,28,0
2021-02-18,서울,185,2
2021-02-18,세종,1,0
2021-02-18,울산,6,0
2021-02-18,인천,17,1
2021-02-18,전남,4,0
2021-02-18,전북,6,0
2021-02-18,제주,5,0
2021-02-18,충남,28,1
2021-02-18,충북,17,0
2021-02-18,대전,12,0
2021-02-18,부산,28,0
2021-02-18,경남,7,0
2021-02-18,경북,23,0
2021-02-18,광주,16,0
2021-02-18,대구,9,1
2021-02-18,서울,185,2
2021-02-18,세종,1,0
2021-02-18,울산,6,0
2021-02-18,인천,17,1
2021-02-18,전남,4,0
2021-02-18,전북,6,0
2021-02-18,제주,5,0
2021-02-18,충남,28,1
2021-02-18,충북,17,0
