 tDate, Area, Confirmeds,Deaths 
2021-05-22,강원,29,0
2021-05-22,경기,165,1
2021-05-22,강원,29,0
2021-05-22,경기,165,1
2021-05-22,경남,21,0
2021-05-22,경북,16,0
2021-05-22,광주,15,0
2021-05-22,대구,56,0
2021-05-22,대전,5,1
2021-05-22,부산,28,0
2021-05-22,서울,208,1
2021-05-22,세종,0,0
2021-05-22,울산,29,0
2021-05-22,인천,15,1
2021-05-22,전남,16,0
2021-05-22,전북,12,0
2021-05-22,제주,7,0
2021-05-22,충남,17,0
2021-05-22,충북,6,0
2021-05-22,대전,5,1
2021-05-22,경남,21,0
2021-05-22,경북,16,0
2021-05-22,광주,15,0
2021-05-22,대구,56,0
2021-05-22,부산,28,0
2021-05-22,서울,208,1
2021-05-22,세종,0,0
2021-05-22,울산,29,0
2021-05-22,인천,15,1
2021-05-22,전남,16,0
2021-05-22,전북,12,0
2021-05-22,제주,7,0
2021-05-22,충남,17,0
2021-05-22,충북,6,0
