 tDate, Area, Confirmeds,Deaths 
2020-06-19,강원,0,0
2020-06-19,경기,11,0
2020-06-19,대전,6,0
2020-06-19,부산,0,0
2020-06-19,강원,0,0
2020-06-19,경기,11,0
2020-06-19,경남,0,0
2020-06-19,경북,0,0
2020-06-19,광주,0,0
2020-06-19,대구,0,0
2020-06-19,대전,6,0
2020-06-19,부산,0,0
2020-06-19,서울,18,0
2020-06-19,세종,0,0
2020-06-19,울산,0,0
2020-06-19,인천,0,0
2020-06-19,전남,0,0
2020-06-19,전북,0,0
2020-06-19,제주,3,0
2020-06-19,충남,0,0
2020-06-19,충북,0,0
2020-06-19,경남,0,0
2020-06-19,경북,0,0
2020-06-19,광주,0,0
2020-06-19,대구,0,0
2020-06-19,서울,18,0
2020-06-19,세종,0,0
2020-06-19,울산,0,0
2020-06-19,인천,0,0
2020-06-19,전남,0,0
2020-06-19,전북,0,0
2020-06-19,제주,3,0
2020-06-19,충남,0,0
2020-06-19,충북,0,0
