 tDate, Area, Confirmeds,Deaths 
2021-06-22,강원,10,0
2021-06-22,경기,92,0
2021-06-22,대전,31,0
2021-06-22,강원,10,0
2021-06-22,경기,92,0
2021-06-22,경남,11,0
2021-06-22,경북,11,0
2021-06-22,광주,2,0
2021-06-22,대구,3,0
2021-06-22,대전,31,0
2021-06-22,부산,6,0
2021-06-22,서울,132,1
2021-06-22,세종,6,0
2021-06-22,울산,5,0
2021-06-22,인천,18,0
2021-06-22,전남,8,0
2021-06-22,전북,2,0
2021-06-22,제주,1,0
2021-06-22,충남,12,0
2021-06-22,충북,16,1
2021-06-22,경남,11,0
2021-06-22,경북,11,0
2021-06-22,광주,2,0
2021-06-22,대구,3,0
2021-06-22,부산,6,0
2021-06-22,서울,132,1
2021-06-22,세종,6,0
2021-06-22,울산,5,0
2021-06-22,인천,18,0
2021-06-22,전남,8,0
2021-06-22,전북,2,0
2021-06-22,제주,1,0
2021-06-22,충남,12,0
2021-06-22,충북,16,1
