 tDate, Area, Confirmeds,Deaths 
2021-02-10,강원,5,0
2021-02-10,경기,169,2
2021-02-10,강원,5,0
2021-02-10,경기,169,2
2021-02-10,경남,9,0
2021-02-10,경북,2,0
2021-02-10,광주,14,0
2021-02-10,대구,16,0
2021-02-10,대전,0,0
2021-02-10,부산,19,0
2021-02-10,서울,175,2
2021-02-10,세종,1,0
2021-02-10,울산,0,0
2021-02-10,인천,20,0
2021-02-10,전남,2,0
2021-02-10,전북,2,0
2021-02-10,제주,0,0
2021-02-10,충남,2,0
2021-02-10,충북,2,0
2021-02-10,대전,0,0
2021-02-10,부산,19,0
2021-02-10,경남,9,0
2021-02-10,경북,2,0
2021-02-10,광주,14,0
2021-02-10,대구,16,0
2021-02-10,서울,175,2
2021-02-10,세종,1,0
2021-02-10,울산,0,0
2021-02-10,인천,20,0
2021-02-10,전남,2,0
2021-02-10,전북,2,0
2021-02-10,제주,0,0
2021-02-10,충남,2,0
2021-02-10,충북,2,0
