 tDate, Area, Confirmeds,Deaths 
2020-06-18,강원,0,0
2020-06-18,경기,16,0
2020-06-18,대전,7,0
2020-06-18,부산,0,0
2020-06-18,강원,0,0
2020-06-18,경기,16,0
2020-06-18,경남,0,0
2020-06-18,경북,0,0
2020-06-18,광주,0,0
2020-06-18,대구,1,0
2020-06-18,대전,7,0
2020-06-18,부산,0,0
2020-06-18,서울,25,1
2020-06-18,세종,1,0
2020-06-18,울산,0,0
2020-06-18,인천,1,0
2020-06-18,전남,0,0
2020-06-18,전북,1,0
2020-06-18,제주,0,0
2020-06-18,충남,3,0
2020-06-18,충북,0,0
2020-06-18,경남,0,0
2020-06-18,경북,0,0
2020-06-18,광주,0,0
2020-06-18,대구,1,0
2020-06-18,서울,25,1
2020-06-18,세종,1,0
2020-06-18,울산,0,0
2020-06-18,인천,1,0
2020-06-18,전남,0,0
2020-06-18,전북,1,0
2020-06-18,제주,0,0
2020-06-18,충남,3,0
2020-06-18,충북,0,0
