 tDate, Area, Confirmeds,Deaths 
2020-09-23,강원,1,0
2020-09-23,경기,30,0
2020-09-23,대전,0,0
2020-09-23,강원,1,0
2020-09-23,경기,30,0
2020-09-23,경남,0,0
2020-09-23,경북,6,0
2020-09-23,광주,2,0
2020-09-23,대구,3,0
2020-09-23,대전,0,0
2020-09-23,부산,7,0
2020-09-23,서울,40,0
2020-09-23,세종,0,0
2020-09-23,울산,2,0
2020-09-23,인천,5,0
2020-09-23,전남,0,0
2020-09-23,전북,1,0
2020-09-23,제주,0,0
2020-09-23,충남,5,0
2020-09-23,충북,2,0
2020-09-23,부산,7,0
2020-09-23,경남,0,0
2020-09-23,경북,6,0
2020-09-23,광주,2,0
2020-09-23,대구,3,0
2020-09-23,서울,40,0
2020-09-23,세종,0,0
2020-09-23,울산,2,0
2020-09-23,인천,5,0
2020-09-23,전남,0,0
2020-09-23,전북,1,0
2020-09-23,제주,0,0
2020-09-23,충남,5,0
2020-09-23,충북,2,0
