 tDate, Area, Confirmeds,Deaths 
2021-02-21,강원,6,1
2021-02-21,경기,171,3
2021-02-21,강원,6,1
2021-02-21,경기,171,3
2021-02-21,경남,7,0
2021-02-21,경북,7,0
2021-02-21,광주,6,0
2021-02-21,대구,8,0
2021-02-21,대전,0,0
2021-02-21,부산,12,0
2021-02-21,서울,130,0
2021-02-21,세종,1,0
2021-02-21,울산,4,0
2021-02-21,인천,21,0
2021-02-21,전남,8,0
2021-02-21,전북,8,0
2021-02-21,제주,3,0
2021-02-21,충남,10,0
2021-02-21,충북,6,0
2021-02-21,대전,0,0
2021-02-21,부산,12,0
2021-02-21,경남,7,0
2021-02-21,경북,7,0
2021-02-21,광주,6,0
2021-02-21,대구,8,0
2021-02-21,서울,130,0
2021-02-21,세종,1,0
2021-02-21,울산,4,0
2021-02-21,인천,21,0
2021-02-21,전남,8,0
2021-02-21,전북,8,0
2021-02-21,제주,3,0
2021-02-21,충남,10,0
2021-02-21,충북,6,0
