 tDate, Area, Confirmeds,Deaths 
2020-04-22,경남,1,0
2020-04-22,강원,0,0
2020-04-22,경기,0,0
2020-04-22,경남,1,0
2020-04-22,대전,1,0
2020-04-22,부산,2,0
2020-04-22,강원,0,0
2020-04-22,경기,0,0
2020-04-22,경북,2,0
2020-04-22,광주,0,0
2020-04-22,대구,1,1
2020-04-22,대전,1,0
2020-04-22,부산,2,0
2020-04-22,서울,2,0
2020-04-22,세종,0,0
2020-04-22,울산,0,0
2020-04-22,인천,0,0
2020-04-22,전남,0,0
2020-04-22,전북,0,0
2020-04-22,제주,0,0
2020-04-22,충남,0,0
2020-04-22,충북,0,0
2020-04-22,경북,2,0
2020-04-22,광주,0,0
2020-04-22,대구,1,1
2020-04-22,서울,2,0
2020-04-22,세종,0,0
2020-04-22,울산,0,0
2020-04-22,인천,0,0
2020-04-22,전남,0,0
2020-04-22,전북,0,0
2020-04-22,제주,0,0
2020-04-22,충남,0,0
2020-04-22,충북,0,0
