 tDate, Area, Confirmeds,Deaths 
2020-10-12,강원,1,0
2020-10-12,경기,29,1
2020-10-12,대전,13,0
2020-10-12,강원,1,0
2020-10-12,경기,29,1
2020-10-12,경남,1,0
2020-10-12,경북,1,0
2020-10-12,광주,1,0
2020-10-12,대구,0,0
2020-10-12,대전,13,0
2020-10-12,부산,4,0
2020-10-12,서울,31,0
2020-10-12,세종,0,0
2020-10-12,울산,0,0
2020-10-12,인천,3,0
2020-10-12,전남,0,0
2020-10-12,전북,2,0
2020-10-12,제주,0,0
2020-10-12,충남,2,0
2020-10-12,충북,0,0
2020-10-12,부산,4,0
2020-10-12,경남,1,0
2020-10-12,경북,1,0
2020-10-12,광주,1,0
2020-10-12,대구,0,0
2020-10-12,서울,31,0
2020-10-12,세종,0,0
2020-10-12,울산,0,0
2020-10-12,인천,3,0
2020-10-12,전남,0,0
2020-10-12,전북,2,0
2020-10-12,제주,0,0
2020-10-12,충남,2,0
2020-10-12,충북,0,0
