 tDate, Area, Confirmeds,Deaths 
2021-02-20,강원,5,0
2021-02-20,경기,170,1
2021-02-20,강원,5,0
2021-02-20,경기,170,1
2021-02-20,경남,8,0
2021-02-20,경북,19,0
2021-02-20,광주,5,0
2021-02-20,대구,9,1
2021-02-20,대전,2,0
2021-02-20,부산,14,0
2021-02-20,서울,123,1
2021-02-20,세종,0,0
2021-02-20,울산,1,0
2021-02-20,인천,37,0
2021-02-20,전남,10,0
2021-02-20,전북,8,0
2021-02-20,제주,2,0
2021-02-20,충남,12,0
2021-02-20,충북,16,0
2021-02-20,대전,2,0
2021-02-20,부산,14,0
2021-02-20,경남,8,0
2021-02-20,경북,19,0
2021-02-20,광주,5,0
2021-02-20,대구,9,1
2021-02-20,서울,123,1
2021-02-20,세종,0,0
2021-02-20,울산,1,0
2021-02-20,인천,37,0
2021-02-20,전남,10,0
2021-02-20,전북,8,0
2021-02-20,제주,2,0
2021-02-20,충남,12,0
2021-02-20,충북,16,0
