 tDate, Area, Confirmeds,Deaths 
2021-01-19,강원,17,2
2021-01-19,경기,139,4
2021-01-19,대전,7,0
2021-01-19,강원,17,2
2021-01-19,경기,139,4
2021-01-19,경남,11,0
2021-01-19,경북,9,0
2021-01-19,광주,8,1
2021-01-19,대구,16,1
2021-01-19,대전,7,0
2021-01-19,부산,17,1
2021-01-19,서울,101,6
2021-01-19,세종,3,0
2021-01-19,울산,8,0
2021-01-19,인천,19,2
2021-01-19,전남,6,0
2021-01-19,전북,3,0
2021-01-19,제주,1,0
2021-01-19,충남,8,0
2021-01-19,충북,5,2
2021-01-19,부산,17,1
2021-01-19,경남,11,0
2021-01-19,경북,9,0
2021-01-19,광주,8,1
2021-01-19,대구,16,1
2021-01-19,서울,101,6
2021-01-19,세종,3,0
2021-01-19,울산,8,0
2021-01-19,인천,19,2
2021-01-19,전남,6,0
2021-01-19,전북,3,0
2021-01-19,제주,1,0
2021-01-19,충남,8,0
2021-01-19,충북,5,2
