 tDate, Area, Confirmeds,Deaths 
2021-04-13,강원,13,0
2021-04-13,경기,168,2
2021-04-13,강원,13,0
2021-04-13,경기,168,2
2021-04-13,경남,15,0
2021-04-13,경북,10,0
2021-04-13,광주,9,0
2021-04-13,대구,9,1
2021-04-13,대전,13,0
2021-04-13,부산,39,0
2021-04-13,서울,158,2
2021-04-13,세종,2,0
2021-04-13,울산,32,0
2021-04-13,인천,16,0
2021-04-13,전남,6,0
2021-04-13,전북,25,0
2021-04-13,제주,0,0
2021-04-13,충남,14,0
2021-04-13,충북,8,0
2021-04-13,대전,13,0
2021-04-13,경남,15,0
2021-04-13,경북,10,0
2021-04-13,광주,9,0
2021-04-13,대구,9,1
2021-04-13,부산,39,0
2021-04-13,서울,158,2
2021-04-13,세종,2,0
2021-04-13,울산,32,0
2021-04-13,인천,16,0
2021-04-13,전남,6,0
2021-04-13,전북,25,0
2021-04-13,제주,0,0
2021-04-13,충남,14,0
2021-04-13,충북,8,0
