tDate,YesterdaySum,YesterdayPositivityConfirmed,YesterdayPositivityQuarantineRelease,YesterdayPositivityInQuarantine,YesterdayPositivityDead,YesterdayInspection,YesterdayNegative,TodaySum,TodayPositivityConfirmed,TodayPositivityQuarantineRelease,TodayPositivityInQuarantine,TodayPositivityDead,TodayInspection,TodayNegative,VarianceSum,VariancePositivityConfirmed,VariancePositivityQuarantineRelease,VariancePositivityInQuarantine,VariancePositivityDead,VarianceInspection,VarianceNegative
2020-09-15,2151002,22285,18489,3433,363,27476,2101241,2164578,22391,18878,3146,367,27310,2114877,13576,106,389,-287,4,-166,13636
2020-09-16,2164578,22391,18878,3146,367,27310,2114877,2178832,22504,19310,2827,367,25842,2130486,14254,113,432,-319,0,-1468,15609
2020-09-17,2178832,22504,19310,2827,367,25842,2130486,2191892,22657,19543,2742,372,25508,2143727,13060,153,233,-85,5,-334,13241
2020-09-18,2191892,22657,19543,2742,372,25508,2143727,2206365,22783,19771,2635,377,25403,2158179,14473,126,228,-107,5,-105,14452
2020-09-19,2206365,22783,19771,2635,377,25403,2158179,2219162,22893,19970,2545,378,24705,2171564,12797,110,199,-90,1,-698,13385
2020-09-20,2219162,22893,19970,2545,378,24705,2171564,2226701,22975,20158,2434,383,24274,2179452,7539,82,188,-111,5,-431,7888
2020-09-21,2226701,22975,20158,2434,383,24274,2179452,2231589,23045,20248,2412,385,22536,2186008,4888,70,90,-22,2,-1738,6566
2020-09-22,2231589,23045,20248,2412,385,22536,2186008,2245112,23106,20441,2277,388,23222,2198784,13523,61,193,-135,3,686,12776
2020-09-23,2245112,23106,20441,2277,388,23222,2198784,2256899,23216,20650,2178,388,20527,2213156,11787,110,209,-99,0,-2965,14372
2020-09-24,2256899,23216,20650,2178,388,20527,2213156,2268999,23341,20832,2116,393,20782,2224876,12100,125,182,-62,5,255,11720
2020-09-25,2268999,23341,20832,2116,393,20782,2224876,2280276,23455,20978,2082,395,19575,2237246,11277,114,146,-34,2,-1207,12370
2020-09-26,2280276,23455,20977,2083,395,19575,2237246,2290345,23516,21166,1951,399,18508,2248321,1069,61,189,-132,4,-1067,11075
2020-09-27,2290345,23516,21166,1951,399,18508,2248321,2296517,23611,21248,1962,401,18878,2254028,6172,95,82,11,2,370,5707
2020-09-28,2296517,23611,21248,1962,401,18878,2254028,2301303,23661,21292,1963,406,18587,2259055,4786,50,44,1,5,-291,5027
2020-09-29,2301303,23661,21292,1963,406,18587,2259055,2313044,23699,21470,1822,407,20056,2269289,11741,38,178,-141,1,1469,10234
2020-09-30,2313044,23699,21470,1822,407,20056,2269289,2322999,23812,21591,1808,413,20596,2278591,9955,113,121,-14,6,540,9302
2020-10-01,2322999,23812,21591,1808,413,20596,2278591,2328435,23889,21666,1808,415,20029,2284517,5436,77,75,0,2,-567,5926
2020-10-02,2328435,23889,21666,1808,415,20029,2284517,2333777,23952,21733,1803,416,19995,2289830,5342,63,67,-5,1,-34,5313
2020-10-03,2333777,23952,21733,1803,416,19995,2289830,2339859,24027,21787,1820,420,21287,2294545,6082,75,54,17,4,1292,4715
2020-10-04,2339859,24027,21787,1820,420,21287,2294545,2346345,24091,21845,1825,421,22116,2300138,6486,64,58,5,1,829,5593
2020-10-05,2346345,24091,21845,1825,421,22116,2300138,2352378,24164,21886,1856,422,224747,2305767,6033,73,41,31,1,331,5629
2020-10-06,2352378,24164,21886,1856,422,22447,2305767,2365433,24239,22083,1734,422,22737,2318457,13055,75,197,-122,0,290,12690
2020-10-07,2365433,24239,22083,1734,422,22737,2318457,2378073,24353,22334,1594,425,22138,2331582,12640,114,251,-140,3,-599,13125
2020-10-08,2378073,24353,22334,1594,425,22138,2331582,2388844,24422,22463,1532,427,20978,2343444,10771,69,129,-62,2,-1160,11862
2020-10-09,2388844,24422,22463,1532,427,20978,2343444,2400233,24476,22569,1479,428,20699,2355058,11389,54,106,-53,1,-279,11614
2020-10-10,2400233,24476,22569,1479,428,20699,2355058,2404684,24548,22624,1494,430,18982,2361154,4451,72,55,15,2,-1717,6096
2020-10-11,2404684,24548,22624,1494,430,18982,2361154,2410483,24606,22693,1481,432,19303,2366574,5799,58,69,-13,2,321,5420
2020-10-12,2410483,24605,22692,1481,432,19303,2366575,2415610,24703,22728,1542,433,19192,2371715,5127,98,36,61,1,-111,5140
2020-10-13,2415610,24703,22728,1542,433,19192,2371715,2428771,24805,22863,1508,434,20124,2383842,13161,102,135,-34,1,932,12127
2020-10-14,2428771,24805,22863,1508,434,20124,2383842,2441454,24889,23030,1421,438,18396,2398169,12683,84,167,-87,4,-1728,14327
2020-10-15,2441443,24878,23030,1410,438,18396,2398169,2450739,24988,23082,1467,439,18262,2407489,9296,110,52,57,1,-134,9320
2020-10-16,2450739,24988,23083,1467,439,18262,2407489,2459426,25035,23180,1414,441,17355,2417036,8687,47,98,-53,2,-907,9547
2020-10-17,2459426,25035,23180,1414,441,17355,2417036,2468527,25108,23258,1407,443,17318,2426101,9101,73,78,-7,2,-37,9065
2020-10-18,2468527,25108,23258,1407,443,17318,2426101,2474529,25199,23312,1443,444,17781,2431549,6002,91,54,36,1,463,5448
2020-10-19,2474529,25199,23312,1443,444,17781,2431549,2479226,25275,23368,1463,444,16763,2437188,4697,76,56,20,0,-1018,5639
2020-10-20,2497226,25275,23368,1463,444,16763,2437188,2491311,25333,23466,1420,447,19379,2446599,12085,58,98,-43,3,2616,9411
2020-10-21,2491311,25333,23466,1420,447,19379,2446599,2503491,25424,23584,1390,450,19493,2458574,12180,91,118,-30,3,114,11975
2020-10-22,2503489,25422,23584,1388,450,19493,2458574,2515325,25543,23647,1443,453,19813,2469969,11836,121,63,55,3,320,11395
2020-10-23,2515325,25543,23647,1443,453,19813,2469969,2528621,25698,23717,1526,455,20430,2482493,13296,155,70,83,2,617,12524
2020-10-24,2528621,25698,23717,1526,455,20430,2482493,2540679,25775,23834,1484,457,21888,2493016,12058,77,117,-42,2,1458,10523
2020-10-25,2540679,25775,23834,1484,457,21888,2493016,2546146,25836,23869,1510,457,21682,2498628,5467,61,35,26,0,-206,5612
2020-10-26,2546146,25836,23869,1510,457,21682,2498628,2552264,25955,23905,1593,457,20763,2505546,6118,119,36,83,0,-919,6918
2020-10-27,2552264,25955,23905,1593,457,20763,2505546,2567587,26043,23981,1602,460,23003,2518541,15323,88,76,9,3,2240,12995
2020-10-28,2567587,26043,23981,1602,460,23003,2518541,2582960,26146,24073,1612,461,22904,2533910,15373,103,92,10,1,-99,15369
2020-10-29,2582960,26146,24073,1612,461,22904,2533910,2597978,26271,24168,1641,462,26148,2545559,15018,125,95,29,1,3244,11649
2020-10-30,2597978,26271,24168,1641,462,26148,2545559,2612231,26385,24227,1695,463,26373,2559473,14253,114,59,54,1,225,13914
2020-10-31,2612231,26384,24227,1694,463,26373,2559474,2624492,26511,24611,1736,464,25678,2572303,12261,127,84,42,1,-695,12829
2020-11-01,2624492,26511,24311,1736,464,25678,2572303,2630630,26635,24357,1812,466,24838,2579157,6138,124,46,76,2,-840,6854
2020-11-02,2630263,26635,24357,1812,466,24838,2579157,2636650,26732,24395,1869,468,25524,2584394,6020,97,38,57,2,686,5237
2020-11-03,2636650,26732,24395,1869,468,25524,2584394,2649859,26807,24510,1825,472,25815,2597237,13209,75,115,-44,4,291,12843
2020-11-04,2649859,26807,24510,1825,472,25815,2597237,2662260,26925,24616,1835,474,24255,2611080,12401,118,106,10,2,-1560,13843
2020-11-05,2662260,26925,24616,1835,474,24255,2611080,2673706,27050,24735,1840,475,25062,2621594,11446,125,119,5,1,807,10514
2020-11-06,2673706,27050,24735,1840,475,25062,2621594,2686314,27195,24821,1989,476,25629,263490,12608,145,86,58,1,567,11896
2020-11-07,2686314,37195,24821,1898,476,25629,2633490,2697249,27284,24910,1897,477,26217,2643748,10935,89,89,-1,1,588,10258
2020-11-08,2697249,27284,24910,1897,477,26217,2643748,2702880,27427,24968,1981,478,25648,2649805,5631,143,58,84,1,-569,6057
2020-11-09,2702880,27427,24968,1981,478,25648,2649805,2709199,27553,25029,2044,480,25802,2655844,6319,126,61,63,2,154,6039
2020-11-10,2709199,27553,25029,2044,480,25802,2655844,2723960,27653,25160,2008,485,27855,2668452,14761,100,131,-36,5,2053,12608
2020-11-11,2723960,27653,25160,2008,485,27855,2668452,2736534,27799,25266,2046,487,28688,2680047,12574,146,106,38,2,833,11595
2020-11-12,2736534,27799,25266,2046,487,28688,2680047,2749772,27942,25404,2051,487,29284,2692546,13238,143,138,5,0,596,12499
2020-11-13,2749772,27942,25404,2051,487,29284,2692546,2761411,28133,25537,2108,488,30119,2703159,11639,191,133,57,1,835,10613
2020-11-14,2761411,28133,25537,2108,488,30119,2703159,2777289,28338,25636,2210,492,34692,2714259,15878,205,99,102,4,4573,11100
2020-11-15,2777289,28338,25636,2210,492,34692,2714259,2786878,28546,25691,2362,493,36378,2721954,9589,208,55,152,1,1686,7695
2020-11-16,2786878,28546,25691,2362,493,36378,2721954,2797691,28769,25759,2516,494,38314,2730608,10813,223,68,154,1,1936,8654
2020-11-17,2797691,28768,25759,2515,494,38314,2730609,2815755,28998,25860,2644,494,41202,2745555,18064,230,101,129,0,2888,14946
2020-11-18,2815755,28998,25860,2644,494,41202,2745555,2834362,29311,25973,2842,496,42688,2762363,18607,313,113,198,2,1486,16808
2020-11-19,2834362,29311,25973,2842,496,42688,2762363,2853843,29654,26098,3058,498,45525,2778664,19481,343,125,216,2,2837,16301
2020-11-20,2853843,29654,26098,3058,498,45525,2778664,2873443,30017,26263,3253,501,48143,2795283,19600,363,165,195,3,2618,16619
2020-11-21,2873443,30017,26263,3253,501,48143,2795283,2896746,30403,26365,3535,503,51345,2814998,23303,386,102,282,2,3202,19715
2020-11-22,2896746,30403,26365,3535,503,51345,2814998,2908890,30733,26466,3762,505,54029,2824128,12144,330,101,227,2,2684,9130
2020-11-23,2908890,30733,26466,3762,505,54029,2824128,2922135,31004,26539,3956,509,56455,2834676,13245,271,73,194,4,2426,10548
2020-11-24,1922135,31004,26539,3956,509,56455,2834676,2946399,31353,26722,4121,510,57769,2857277,24264,349,183,165,1,1314,22601
2020-11-25,2946399,31353,26722,4121,510,57769,2857277,2966405,31735,26825,4397,513,55838,2878832,2006,382,103,276,3,-1931,21555
2020-11-26,2966405,31735,26825,4397,513,55838,2878832,2998046,32318,26950,4853,515,55361,2900367,21641,583,125,456,2,-477,21535
2020-11-27,2988046,32318,26950,4853,515,55361,2900367,3009577,32887,27103,5268,516,56637,2920053,21531,569,153,415,1,1276,19686
2020-11-28,3009562,32871,27103,5252,516,56637,2920054,3032004,33375,27349,5504,522,58794,2939835,22442,504,246,252,6,2157,19781
2020-11-29,3032003,33374,27349,5503,522,58794,2939835,3046971,33824,27542,5759,523,62829,2950318,14968,450,193,256,1,4035,10483
2020-11-30,3046910,33763,27542,5698,523,62829,2950318,3061172,34201,27625,6050,526,63365,2963606,142692,438,83,352,3,536,13288
2020-12-01,3061172,34201,27625,6050,526,63365,2963606,3083997,34652,27885,6241,526,64892,2984453,22825,451,260,191,0,1527,20847
2020-12-02,3083997,34652,27885,6421,526,64892,2984453,3106970,35163,28065,6572,526,65154,3006653,22973,511,180,331,0,262,22200
2020-12-03,3106970,35163,28065,6572,526,65154,3006653,3131886,35703,28352,6822,529,65788,3030395,24916,540,287,250,3,634,23742
2020-12-04,3131886,35703,28352,6822,529,65788,3030395,3157410,36332,28611,7185,536,64017,3057061,25524,629,259,363,7,-1771,26666
2020-12-05,3157410,36332,28611,7185,536,64017,3057061,3180496,36915,28917,7458,540,66267,3077314,23086,583,306,273,4,2250,20253
2020-12-06,3180496,36915,28917,7458,540,66267,3077314,3194867,37546,29128,7873,545,67716,3089605,14371,631,211,415,5,1449,12291
2020-12-07,3194867,37546,29128,7873,545,67716,3089605,3209376,38161,29301,8311,549,68010,3103205,14509,615,173,438,4,294,13600
2020-12-08,3209376,38161,29301,8311,549,68010,3103205,3221235,38755,29650,8553,552,71274,3111296,11949,594,349,242,3,3264,8091
2020-12-09,3221317,38746,29650,8544,552,71274,3111297,3253236,39432,30177,8699,556,75080,3138724,31919,686,527,155,4,3806,27427
2020-12-10,3253220,39416,30177,8683,556,75080,3138724,3277947,40098,30637,8897,564,72764,3165085,24727,682,460,214,8,-2316,26361
2020-12-11,3277948,40097,30637,8896,564,72764,3165087,3311213,40786,31157,9057,572,77688,3192739,33265,689,520,161,8,4924,27652
2020-12-12,3311213,40786,31157,9057,572,77688,3192739,3349864,41736,31493,9665,578,86742,3221386,38651,950,336,608,6,9054,28647
2020-12-13,3349864,41736,31493,9665,578,86742,3221386,3374595,42766,31814,10372,580,90129,3241700,24731,1030,321,707,2,3387,20314
