tDate,Country,Number,HolidayName
2024-12-25,Canada,1,Christmas Day
2024-12-25,Cayman Islands,1,Christmas Day
2024-12-25,Central African Republic,1,Christmas Day
2024-12-25,Chad,1,Christmas Day
2024-12-25,Chile,1,Christmas Day
2024-12-25,Colombia,1,Christmas Day
2024-12-25,Congo,1,Christmas Day
2024-12-25,Congo Democratic Republic,1,Christmas Day
2024-12-25,Cook Islands,1,Christmas Day
2024-12-25,Costa Rica,1,Christmas Day
2024-12-25,Cote d`Ivoire,1,Christmas Day
2024-12-25,Croatia,1,Christmas Day
2024-12-25,Cuba,1,Christmas Day
2024-12-25,Curacao,1,Christmas Day
2024-12-25,Cyprus,1,Christmas Day
2024-12-25,Czechia,1,Christmas Day
2024-12-25,Denmark,1,Christmas Day
2024-12-25,Dominica,1,Christmas Day
2024-12-25,Dominican Republic,1,Christmas Day
2024-12-25,East Timor,1,Christmas Day
2024-12-25,Ecuador,1,Christmas Day
2024-12-25,El Salvador,1,Christmas Day
2024-12-25,Equatorial Guinea,1,Christmas Day
2024-12-25,Eritrea,1,Christmas Day
2024-12-25,Estonia,1,Christmas Day
2024-12-25,Eswatini,1,Christmas Day
2024-12-25,Falkland Islands,1,Christmas Day
2024-12-25,Faroe Islands,1,Christmas Day
2024-12-25,Fiji,1,Christmas Day
2024-12-25,Finland,1,Christmas Day
2024-12-25,France,1,Christmas Day
2024-12-25,French Guiana,1,Christmas Day
2024-12-25,French Polynesia,1,Christmas Day
2024-12-25,Gabon,1,Christmas Day
2024-12-25,Gambia,1,Christmas Day
2024-12-25,Germany,1,Christmas Day
2024-12-25,Ghana,1,Christmas Day
2024-12-25,Gibraltar,1,Christmas Day
2024-12-25,Greece,1,Christmas Day
2024-12-25,Greenland,1,Christmas Day
2024-12-25,Grenada,1,Christmas Day
2024-12-25,Guam,1,Christmas Day
2024-12-25,Guatemala,1,Christmas Day
2024-12-25,Guernsey,1,Christmas Day
2024-12-25,Guinea,1,Christmas Day
2024-12-25,Guinea-Bissau,1,Christmas Day
2024-12-25,Guyana,1,Christmas Day
2024-12-25,Haiti,1,Christmas Day
2024-12-25,Honduras,1,Christmas Day
2024-12-25,Hungary,1,Christmas Day
2024-12-25,Iceland,1,Christmas Day
2024-12-25,India,1,Christmas
2024-12-25,Iraq,1,Christmas Day
2024-12-25,Ireland,1,Christmas Day
2024-12-25,Isle of Man,1,Christmas Day
2024-12-25,Italy,1,Christmas Day
2024-12-25,Jamaica,1,Christmas Day
2024-12-25,Jersey,1,Christmas Day
2024-12-25,Jordan,1,Christmas Day
2024-12-25,Kenya,1,Christmas Day
2024-12-25,Kiribati,1,Christmas Day
2024-12-25,Kosovo,1,Christmas Day
2024-12-25,Latvia,1,Christmas Day
2024-12-25,Lebanon,1,Christmas Day
2024-12-25,Lesotho,1,Christmas Day
2024-12-25,Liberia,1,Christmas Day
2024-12-25,Liechtenstein,1,Christmas Day
2024-12-25,Lithuania,1,Christmas Day
2024-12-25,Luxembourg,1,Christmas Day
2024-12-25,Madagascar,1,Christmas Day
2024-12-25,Malawi,1,Christmas Day
2024-12-25,Malaysia,1,Christmas Day
2024-12-25,Mali,1,Christmas Day
2024-12-25,Malta,1,Christmas Day
2024-12-25,Marshall Islands,1,Christmas Day
2024-12-25,Martinique,1,Christmas Day
