BASE_DT,CELL_ID,CELL_XCRD,CELL_YCRD,CTDO_CD,CTDO_NM,CCW_CD,CCW_NM,ADNG_CD,ADNG_NW,DOW,TMZN,SEX_DV_CD,YY10_AGLV_ID,CORC_WALK_POPL_CNT,CORC_NTWK_POPL_CNT
20201121,"80,375,959",126.9473,37.54016,11,서울특별시,1144,마포구,11440585,도화동,토,9,MALE,5,12,8
20201121,"80,375,959",126.9473,37.54016,11,서울특별시,1144,마포구,11440585,도화동,토,19,FEMALE,3,12,8
20201105,"83,863,801",127.0705,37.56771,11,서울특별시,1123,동대문구,11230660,장안2동,목,16,FEMALE,1,13,8
20201105,"139,583,089",128.9965,35.20218,26,부산광역시,2632,북구,26320520,구포2동,목,18,MALE,6,3,4
20201105,"83,863,801",127.0705,37.56771,11,서울특별시,1123,동대문구,11230660,장안2동,목,6,MALE,5,7,4
20201105,"83,558,707",127.0627,37.06606,41,경기도,4122,평택시,41220520,서정동,목,20,MALE,1,9,4
20201105,"70,904,337",126.6134,37.44168,28,인천광역시,2811,중구,28110520,연안동,목,13,MALE,4,10,6
20201105,"73,704,352",126.7114,37.528,28,인천광역시,2824,계양구,28245601,효성1동,목,20,FEMALE,1,11,5
20201105,"79,911,943",126.9311,37.5198,11,서울특별시,1156,영등포구,11560540,여의동,목,19,MALE,4,39,5
20201105,"73,704,352",126.7114,37.528,28,인천광역시,2824,계양구,28245601,효성1동,목,4,MALE,5,12,5
20201105,"83,559,754",127.06,37.53793,11,서울특별시,1120,성동구,11200670,성수2가1동,목,20,MALE,3,20,6
20201105,"70,904,337",126.6134,37.44168,28,인천광역시,2811,중구,28110520,연안동,목,11,MALE,4,9,9
20201105,"83,559,754",127.06,37.53793,11,서울특별시,1120,성동구,11200670,성수2가1동,목,18,MALE,3,44,8
20201105,"139,583,089",128.9965,35.20218,26,부산광역시,2632,북구,26320520,구포2동,목,8,MALE,4,4,5
