BASE_DT,CELL_ID,CELL_XCRD,CELL_YCRD,CTDO_CD,CTDO_NM,CCW_CD,CCW_NM,ADNG_CD,ADNG_NW,DOW,TMZN,SEX_DV_CD,YY10_AGLV_ID,CORC_WALK_POPL_CNT,CORC_NTWK_POPL_CNT
20201114,"84,135,119",127.0818,37.26804,41,경기도,4111,수원시,41117570,영통1동,토,23,FEMALE,4,5,8
20201114,"74,744,056",126.7493,37.42414,28,인천광역시,2820,남동구,28200655,서창2동,토,17,FEMALE,3,41,15
20201114,"72,456,436",126.6673,37.5304,28,인천광역시,2826,서구,28260542,가정1동,토,18,FEMALE,5,3,7
20201114,"74,744,056",126.7493,37.42414,28,인천광역시,2820,남동구,28200655,서창2동,토,16,FEMALE,5,24,11
20201114,"84,135,119",127.0818,37.26804,41,경기도,4111,수원시,41117570,영통1동,토,20,MALE,1,7,9
20201114,"79,591,919",126.9199,37.49992,11,서울특별시,1156,영등포구,11560680,신길6동,토,19,FEMALE,6,17,11
20201112,"75,378,661",126.7939,35.01054,46,전라남도,4617,나주시,46170620,빛가람동,목,20,FEMALE,4,15,10
20201112,"79,735,959",126.9248,37.52202,11,서울특별시,1156,영등포구,11560540,여의동,목,17,MALE,5,47,57
20201112,"75,480,608",126.7726,37.69379,41,경기도,4128,고양시,41287540,탄현동,목,10,FEMALE,3,12,4
20201112,"93,556,580",127.415,36.38982,30,대전광역시,3023,대덕구,30230525,회덕동,목,21,FEMALE,4,5,4
20201112,"79,735,959",126.9248,37.52202,11,서울특별시,1156,영등포구,11560540,여의동,목,9,MALE,7,3,26
20201112,"75,378,661",126.7939,35.01054,46,전라남도,4617,나주시,46170620,빛가람동,목,18,FEMALE,4,15,16
20201112,"79,591,919",126.9199,37.49992,11,서울특별시,1156,영등포구,11560680,신길6동,목,5,FEMALE,6,14,7
20201112,"73,064,613",126.6877,37.62744,41,경기도,4157,김포시,41570560,장기동,목,15,FEMALE,7,4,4
20201112,"84,471,629",127.0924,37.5074,11,서울특별시,1171,송파구,11710680,잠실3동,목,15,MALE,6,11,6
20201112,"75,480,608",126.7726,37.69379,41,경기도,4128,고양시,41287540,탄현동,목,12,FEMALE,3,10,3
20201112,"76,951,619",126.8284,37.28986,41,경기도,4127,안산시,41271537,해양동,목,17,FEMALE,2,8,6
20201123,"93,477,285",127.4118,36.70535,43,충청북도,4311,청주시,43114253,오창읍,월,22,MALE,3,3,3
20201123,"77,448,212",126.8435,37.57117,11,서울특별시,1150,강서구,11500603,가양1동,월,3,MALE,1,7,4
20201126,"79,400,047",126.9127,37.55216,11,서울특별시,1144,마포구,11440660,서교동,목,13,FEMALE,2,26,5
20201126,"84,263,790",127.0847,37.57407,11,서울특별시,1126,중랑구,11260540,면목4동,목,19,FEMALE,4,17,5
20201126,"84,263,790",127.0847,37.57407,11,서울특별시,1126,중랑구,11260540,면목4동,목,15,MALE,2,9,4
20201126,"79,400,047",126.9127,37.55216,11,서울특별시,1144,마포구,11440660,서교동,목,10,FEMALE,4,22,7
20201126,"79,400,047",126.9127,37.55216,11,서울특별시,1144,마포구,11440660,서교동,목,12,FEMALE,4,34,9
20201126,"79,400,047",126.9127,37.55216,11,서울특별시,1144,마포구,11440660,서교동,목,11,FEMALE,2,23,5
20201126,"79,400,047",126.9127,37.55216,11,서울특별시,1144,마포구,11440660,서교동,목,3,MALE,7,7,4
20201126,"77,336,153",126.8398,37.54141,11,서울특별시,1150,강서구,11500540,화곡1동,목,4,MALE,4,11,4
20201126,"77,336,153",126.8398,37.54141,11,서울특별시,1150,강서구,11500540,화곡1동,목,10,FEMALE,5,22,8
20201126,"102,752,334",127.7308,34.73463,46,전라남도,4613,여수시,46130655,대교동,목,17,MALE,5,4,5
20201126,"84,102,800",127.0815,37.12337,41,경기도,4122,평택시,41220310,진위면,목,13,MALE,4,6,4
20201126,"84,263,790",127.0847,37.57407,11,서울특별시,1126,중랑구,11260540,면목4동,목,13,FEMALE,7,3,3
20201126,"81,015,779",126.9704,37.47717,11,서울특별시,1159,동작구,11590650,사당4동,목,9,MALE,6,10,3
20201126,"77,111,675",126.8338,37.31964,41,경기도,4127,안산시,41273532,중앙동,목,21,FEMALE,1,11,4
20201126,"77,336,153",126.8398,37.54141,11,서울특별시,1150,강서구,11500540,화곡1동,목,23,MALE,5,4,5
20201126,"79,400,047",126.9127,37.55216,11,서울특별시,1144,마포구,11440660,서교동,목,2,MALE,5,9,4
20201126,"84,711,514",127.1011,37.46236,11,서울특별시,1168,강남구,11680700,세곡동,목,10,MALE,1,3,3
20201126,"84,263,790",127.0847,37.57407,11,서울특별시,1126,중랑구,11260540,면목4동,목,13,MALE,3,8,4
20201114,"79,591,919",126.9199,37.49992,11,서울특별시,1156,영등포구,11560680,신길6동,토,23,MALE,5,8,5
20201114,"74,744,056",126.7493,37.42414,28,인천광역시,2820,남동구,28200655,서창2동,토,9,MALE,7,4,9
20201114,"72,456,436",126.6673,37.5304,28,인천광역시,2826,서구,28260542,가정1동,토,19,FEMALE,3,4,8
20201114,"92,916,690",127.3926,36.42136,30,대전광역시,3020,유성구,30200600,관평동,토,17,MALE,5,8,3
20201114,"127,265,291",128.5823,35.85215,27,대구광역시,2720,남구,27200586,대명3동,토,22,MALE,5,3,3
20201112,"75,480,608",126.7726,37.69379,41,경기도,4128,고양시,41287540,탄현동,목,15,MALE,6,4,5
20201112,"84,471,629",127.0924,37.5074,11,서울특별시,1171,송파구,11710680,잠실3동,목,16,MALE,5,12,7
20201112,"79,591,919",126.9199,37.49992,11,서울특별시,1156,영등포구,11560680,신길6동,목,17,MALE,5,23,24
20201112,"75,480,608",126.7726,37.69379,41,경기도,4128,고양시,41287540,탄현동,목,16,MALE,5,3,5
20201112,"84,471,629",127.0924,37.5074,11,서울특별시,1171,송파구,11710680,잠실3동,목,11,FEMALE,5,21,3
20201112,"79,591,919",126.9199,37.49992,11,서울특별시,1156,영등포구,11560680,신길6동,목,14,MALE,6,13,10
20201112,"79,591,919",126.9199,37.49992,11,서울특별시,1156,영등포구,11560680,신길6동,목,22,MALE,3,6,7
20201112,"76,951,619",126.8284,37.28986,41,경기도,4127,안산시,41271537,해양동,목,22,FEMALE,4,6,4
20201112,"79,735,959",126.9248,37.52202,11,서울특별시,1156,영등포구,11560540,여의동,목,13,FEMALE,3,7,23
20201112,"79,591,919",126.9199,37.49992,11,서울특별시,1156,영등포구,11560680,신길6동,목,11,FEMALE,3,13,5
20201112,"76,951,619",126.8284,37.28986,41,경기도,4127,안산시,41271537,해양동,목,6,MALE,4,7,5
20201112,"75,480,608",126.7726,37.69379,41,경기도,4128,고양시,41287540,탄현동,목,13,FEMALE,5,13,4
20201112,"75,378,661",126.7939,35.01054,46,전라남도,4617,나주시,46170620,빛가람동,목,9,MALE,4,4,5
20201123,"120,994,271",128.3681,36.11894,47,경상북도,4719,구미시,47190621,공단1동,월,17,MALE,1,13,4
20201123,"72,952,253",126.6856,37.46203,28,인천광역시,2817,미추홀구,28177620,주안1동,월,21,FEMALE,4,18,4
20201106,"134,181,182",128.8553,37.79774,42,강원도,4215,강릉시,42150665,경포동,금,13,MALE,4,6,9
20201106,"84,917,273",127.1136,36.45819,44,충청남도,4415,공주시,44150540,웅진동,금,15,FEMALE,1,6,4
20201106,"75,208,582",126.7632,37.67435,41,경기도,4128,고양시,41287560,주엽2동,금,21,FEMALE,7,36,5
20201106,"79,672,081",126.9221,37.57519,11,서울특별시,1141,서대문구,11410700,남가좌2동,금,9,MALE,7,19,9
20201106,"134,181,182",128.8553,37.79774,42,강원도,4215,강릉시,42150665,경포동,금,11,MALE,4,8,7
20201106,"75,208,582",126.7632,37.67435,41,경기도,4128,고양시,41287560,주엽2동,금,15,FEMALE,6,21,5
20201106,"75,208,582",126.7632,37.67435,41,경기도,4128,고양시,41287560,주엽2동,금,16,FEMALE,3,15,6
20201106,"76,583,771",126.8149,37.34792,41,경기도,4127,안산시,41273600,선부3동,금,22,FEMALE,6,7,3
20201101,"84,791,556",127.1038,37.48355,11,서울특별시,1168,강남구,11680700,세곡동,일,22,MALE,4,5,15
20201101,"71,144,511",126.6209,37.52691,28,인천광역시,2826,서구,28260539,청라3동,일,22,FEMALE,1,20,4
20201101,"76,215,741",126.8022,37.32396,41,경기도,4127,안산시,41273555,백운동,일,10,FEMALE,7,3,17
20201101,"135,845,082",128.9144,37.79885,42,강원도,4215,강릉시,42150580,초당동,일,17,FEMALE,2,8,5
20201101,"143,363,831",129.1734,37.44352,42,강원도,4223,삼척시,42230530,교동,일,12,FEMALE,6,20,6
20201101,"84,136,186",127.0792,37.74891,41,경기도,4115,의정부시,41150568,신곡2동,일,15,FEMALE,3,8,7
20201101,"94,244,397",127.439,36.32673,30,대전광역시,3011,동구,#NAME?,대동,일,15,FEMALE,5,10,6
