tDate,Country,Variant,total_sequences,cluster_sequences,proportion
2021-05-03,Australia,20I.Alpha.V1,72,22,0.305555555555
2021-05-03,Australia,21A.Delta,72,31,0.430555555555
2021-05-03,Austria,20H.Beta.V2,177,1,0.005649717514
2021-05-03,Austria,20I.Alpha.V1,177,159,0.898305084745
2021-05-03,Austria,21A.Delta,177,1,0.005649717514
2021-05-03,Belgium,20H.Beta.V2,1323,22,0.016628873771
2021-05-03,Belgium,20I.Alpha.V1,1323,1085,0.820105820105
2021-05-03,Belgium,20J.Gamma.V3,1323,114,0.086167800453
2021-05-03,Belgium,21A.Delta,1323,31,0.023431594860
2021-05-03,Canada,20H.Beta.V2,1867,16,0.008569898232
2021-05-03,Canada,20I.Alpha.V1,1867,980,0.524906266738
2021-05-03,Canada,20J.Gamma.V3,1867,469,0.251205141938
2021-05-03,Canada,21A.Delta,1867,45,0.024102838778
2021-05-03,Canada,21C.Epsilon,1867,21,0.011247991430
2021-05-03,Canada,21D.Eta,1867,34,0.018211033743
2021-05-03,Chile,20J.Gamma.V3,253,121,0.478260869565
2021-05-03,Chile,21G.Lambda,253,80,0.316205533596
2021-05-03,Colombia,20J.Gamma.V3,93,30,0.322580645161
2021-05-03,Czechia,20I.Alpha.V1,235,213,0.906382978723
2021-05-03,Denmark,20I.Alpha.V1,4163,4005,0.962046601008
2021-05-03,Denmark,21A.Delta,4163,15,0.003603170790
2021-05-03,Denmark,21D.Eta,4163,5,0.001201056930
2021-05-03,Estonia,20I.Alpha.V1,160,156,0.975000000000
2021-05-03,Finland,20H.Beta.V2,253,29,0.114624505928
2021-05-03,Finland,20I.Alpha.V1,253,201,0.794466403162
2021-05-03,France,20H.Beta.V2,1775,205,0.115492957746
2021-05-03,France,20I.Alpha.V1,1775,1376,0.775211267605
2021-05-03,France,20J.Gamma.V3,1775,34,0.019154929577
2021-05-03,France,21A.Delta,1775,23,0.012957746478
2021-05-03,France,21D.Eta,1775,54,0.030422535211
2021-05-03,Germany,20H.Beta.V2,9194,147,0.015988688274
2021-05-03,Germany,20I.Alpha.V1,9194,8642,0.939960844028
2021-05-03,Germany,20J.Gamma.V3,9194,51,0.005547095932
2021-05-03,Germany,21A.Delta,9194,90,0.009788992821
2021-05-03,Germany,21D.Eta,9194,50,0.005438329345
2021-05-03,Greece,20I.Alpha.V1,607,497,0.818780889621
2021-05-03,Ireland,20I.Alpha.V1,955,841,0.880628272251
2021-05-03,Ireland,21A.Delta,955,31,0.032460732984
2021-05-03,Israel,20H.Beta.V2,168,0,0.000000000000
2021-05-03,Israel,20I.Alpha.V1,168,141,0.839285714285
2021-05-03,Italy,20I.Alpha.V1,1412,1216,0.861189801699
