tDate,Country,Variant,total_sequences,cluster_sequences,proportion
2020-09-07,Australia,20I.Alpha.V1,454,0,0.000000000000
2020-09-07,Australia,21A.Delta,454,0,0.000000000000
2020-09-07,Austria,20H.Beta.V2,14,0,0.000000000000
2020-09-07,Austria,20I.Alpha.V1,14,0,0.000000000000
2020-09-07,Austria,21A.Delta,14,0,0.000000000000
2020-09-07,Belgium,20H.Beta.V2,41,0,0.000000000000
2020-09-07,Belgium,20I.Alpha.V1,41,0,0.000000000000
2020-09-07,Belgium,20J.Gamma.V3,41,0,0.000000000000
2020-09-07,Belgium,21A.Delta,41,0,0.000000000000
2020-09-07,Canada,20H.Beta.V2,345,0,0.000000000000
2020-09-07,Canada,20I.Alpha.V1,345,0,0.000000000000
2020-09-07,Canada,20J.Gamma.V3,345,0,0.000000000000
2020-09-07,Canada,21A.Delta,345,0,0.000000000000
2020-09-07,Canada,21C.Epsilon,345,0,0.000000000000
2020-09-07,Canada,21D.Eta,345,0,0.000000000000
2020-09-07,Chile,20J.Gamma.V3,26,0,0.000000000000
2020-09-07,Chile,21G.Lambda,26,0,0.000000000000
2020-09-07,Colombia,20J.Gamma.V3,3,0,0.000000000000
2020-09-07,Czechia,20I.Alpha.V1,5,0,0.000000000000
2020-09-07,Denmark,20I.Alpha.V1,479,0,0.000000000000
2020-09-07,Denmark,21A.Delta,479,0,0.000000000000
2020-09-07,Denmark,21D.Eta,479,0,0.000000000000
2020-09-07,Estonia,20I.Alpha.V1,5,0,0.000000000000
2020-09-07,Finland,20H.Beta.V2,10,0,0.000000000000
2020-09-07,Finland,20I.Alpha.V1,10,0,0.000000000000
2020-09-07,France,20H.Beta.V2,113,0,0.000000000000
2020-09-07,France,20I.Alpha.V1,113,0,0.000000000000
2020-09-07,France,20J.Gamma.V3,113,0,0.000000000000
2020-09-07,France,21A.Delta,113,0,0.000000000000
2020-09-07,France,21D.Eta,113,0,0.000000000000
2020-09-07,Germany,20H.Beta.V2,65,0,0.000000000000
2020-09-07,Germany,20I.Alpha.V1,65,0,0.000000000000
2020-09-07,Germany,20J.Gamma.V3,65,0,0.000000000000
2020-09-07,Germany,21A.Delta,65,0,0.000000000000
2020-09-07,Germany,21D.Eta,65,0,0.000000000000
2020-09-07,Greece,20I.Alpha.V1,9,0,0.000000000000
2020-09-07,Ireland,20I.Alpha.V1,31,0,0.000000000000
2020-09-07,Ireland,21A.Delta,31,0,0.000000000000
2020-09-07,Italy,20I.Alpha.V1,70,0,0.000000000000
2020-09-07,Italy,20J.Gamma.V3,70,0,0.000000000000
2020-09-07,Italy,21A.Delta,70,0,0.000000000000
2020-09-07,Italy,21D.Eta,70,0,0.000000000000
2020-09-07,Japan,20I.Alpha.V1,465,0,0.000000000000
2020-09-07,Japan,21A.Delta,465,0,0.000000000000
2020-09-07,Latvia,20I.Alpha.V1,12,0,0.000000000000
2020-09-07,Lithuania,20I.Alpha.V1,10,0,0.000000000000
2020-09-07,Luxembourg,20H.Beta.V2,3,0,0.000000000000
2020-09-07,Luxembourg,20I.Alpha.V1,3,0,0.000000000000
2020-09-07,Mexico,20I.Alpha.V1,27,0,0.000000000000
2020-09-07,Mexico,20J.Gamma.V3,27,0,0.000000000000
2020-09-07,Mexico,21A.Delta,27,0,0.000000000000
2020-09-07,Mexico,21C.Epsilon,27,0,0.000000000000
2020-09-07,Netherlands,20H.Beta.V2,66,0,0.000000000000
2020-09-07,Netherlands,20I.Alpha.V1,66,0,0.000000000000
2020-09-07,Netherlands,20J.Gamma.V3,66,0,0.000000000000
2020-09-07,Netherlands,21A.Delta,66,0,0.000000000000
2020-09-07,Norway,20H.Beta.V2,28,0,0.000000000000
