tDate, Country,Variant,total_sequences,cluster_sequences,proportion
2020-10-19,Argentina,20J.Gamma.V3,34,0,0.000000000000
2020-10-19,Australia,20I.Alpha.V1,49,0,0.000000000000
2020-10-19,Australia,21A.Delta,49,0,0.000000000000
2020-10-19,Austria,20H.Beta.V2,35,0,0.000000000000
2020-10-19,Austria,20I.Alpha.V1,35,0,0.000000000000
2020-10-19,Austria,21A.Delta,35,0,0.000000000000
2020-10-19,Bangladesh,20H.Beta.V2,9,0,0.000000000000
2020-10-19,Belgium,20H.Beta.V2,133,0,0.000000000000
2020-10-19,Belgium,20I.Alpha.V1,133,0,0.000000000000
2020-10-19,Belgium,20J.Gamma.V3,133,0,0.000000000000
2020-10-19,Belgium,21A.Delta,133,0,0.000000000000
2020-10-19,Botswana,20H.Beta.V2,3,0,0.000000000000
2020-10-19,Brazil,20I.Alpha.V1,67,0,0.000000000000
2020-10-19,Brazil,20J.Gamma.V3,67,0,0.000000000000
2020-10-19,Bulgaria,20I.Alpha.V1,0,0,0.000000000000
2020-10-19,Canada,20H.Beta.V2,368,0,0.000000000000
2020-10-19,Canada,20I.Alpha.V1,368,0,0.000000000000
2020-10-19,Canada,20J.Gamma.V3,368,0,0.000000000000
2020-10-19,Canada,21A.Delta,368,0,0.000000000000
2020-10-19,Canada,21C.Epsilon,368,0,0.000000000000
2020-10-19,Canada,21D.Eta,368,0,0.000000000000
2020-10-19,Chile,20J.Gamma.V3,30,0,0.000000000000
2020-10-19,Chile,21G.Lambda,30,0,0.000000000000
2020-10-19,Colombia,20J.Gamma.V3,6,0,0.000000000000
2020-10-19,Czechia,20I.Alpha.V1,32,0,0.000000000000
2020-10-19,Denmark,20I.Alpha.V1,768,0,0.000000000000
2020-10-19,Denmark,21A.Delta,768,0,0.000000000000
2020-10-19,Denmark,21D.Eta,768,0,0.000000000000
2020-10-19,Estonia,20I.Alpha.V1,16,0,0.000000000000
2020-10-19,Finland,20H.Beta.V2,77,0,0.000000000000
2020-10-19,Finland,20I.Alpha.V1,77,0,0.000000000000
2020-10-19,France,20H.Beta.V2,117,0,0.000000000000
2020-10-19,France,20I.Alpha.V1,117,0,0.000000000000
2020-10-19,France,20J.Gamma.V3,117,0,0.000000000000
2020-10-19,France,21A.Delta,117,0,0.000000000000
2020-10-19,France,21D.Eta,117,0,0.000000000000
2020-10-19,Germany,20H.Beta.V2,175,0,0.000000000000
2020-10-19,Germany,20I.Alpha.V1,175,0,0.000000000000
2020-10-19,Germany,20J.Gamma.V3,175,0,0.000000000000
2020-10-19,Germany,21A.Delta,175,0,0.000000000000
2020-10-19,Germany,21D.Eta,175,0,0.000000000000
2020-10-19,Greece,20I.Alpha.V1,23,0,0.000000000000
2020-10-19,India,20I.Alpha.V1,145,0,0.000000000000
2020-10-19,India,21A.Delta,145,0,0.000000000000
2020-10-19,India,21B.Kappa,145,0,0.000000000000
2020-10-19,Indonesia,21A.Delta,16,0,0.000000000000
2020-10-19,Ireland,20I.Alpha.V1,55,0,0.000000000000
2020-10-19,Ireland,21A.Delta,55,0,0.000000000000
2020-10-19,Italy,20I.Alpha.V1,64,1,0.015625000000
2020-10-19,Italy,20J.Gamma.V3,64,0,0.000000000000
2020-10-19,Italy,21A.Delta,64,0,0.000000000000
2020-10-19,Italy,21D.Eta,64,0,0.000000000000
2020-10-19,Japan,20I.Alpha.V1,302,0,0.000000000000
2020-10-19,Japan,21A.Delta,302,0,0.000000000000
2020-10-19,Kenya,20I.Alpha.V1,16,0,0.000000000000
2020-10-19,Latvia,20I.Alpha.V1,36,0,0.000000000000
2020-10-19,Luxembourg,20H.Beta.V2,124,0,0.000000000000
2020-10-19,Luxembourg,20I.Alpha.V1,124,0,0.000000000000
2020-10-19,Mexico,20I.Alpha.V1,14,0,0.000000000000
2020-10-19,Mexico,20J.Gamma.V3,14,0,0.000000000000
2020-10-19,Mexico,21A.Delta,14,0,0.000000000000
2020-10-19,Mexico,21C.Epsilon,14,0,0.000000000000
2020-10-19,Mozambique,20H.Beta.V2,3,2,0.666666666666
2020-10-19,Netherlands,20H.Beta.V2,197,0,0.000000000000
2020-10-19,Netherlands,20I.Alpha.V1,197,0,0.000000000000
2020-10-19,Netherlands,20J.Gamma.V3,197,0,0.000000000000
2020-10-19,Netherlands,21A.Delta,197,0,0.000000000000
2020-10-19,Norway,20H.Beta.V2,88,0,0.000000000000
