tDate,Country,Variant,total_sequences,cluster_sequences,proportion
2021-03-22,Australia,20I.Alpha.V1,52,24,0.461538461538
2021-03-22,Australia,21A.Delta,52,0,0.000000000000
2021-03-22,Austria,20H.Beta.V2,241,6,0.024896265560
2021-03-22,Austria,20I.Alpha.V1,241,208,0.863070539419
2021-03-22,Austria,21A.Delta,241,0,0.000000000000
2021-03-22,Belgium,20H.Beta.V2,1501,93,0.061958694203
2021-03-22,Belgium,20I.Alpha.V1,1501,1163,0.774816788807
2021-03-22,Belgium,20J.Gamma.V3,1501,78,0.051965356429
2021-03-22,Belgium,21A.Delta,1501,0,0.000000000000
2021-03-22,Canada,20H.Beta.V2,2869,11,0.003834088532
2021-03-22,Canada,20I.Alpha.V1,2869,1329,0.463227605437
2021-03-22,Canada,20J.Gamma.V3,2869,410,0.142906936214
2021-03-22,Canada,21A.Delta,2869,0,0.000000000000
2021-03-22,Canada,21C.Epsilon,2869,25,0.008713837574
2021-03-22,Canada,21D.Eta,2869,106,0.036946671314
2021-03-22,Chile,20J.Gamma.V3,83,20,0.240963855421
2021-03-22,Chile,21G.Lambda,83,27,0.325301204819
2021-03-22,Colombia,20J.Gamma.V3,40,8,0.200000000000
2021-03-22,Czechia,20I.Alpha.V1,220,188,0.854545454545
2021-03-22,Denmark,20I.Alpha.V1,3313,3032,0.915182613945
2021-03-22,Denmark,21A.Delta,3313,0,0.000000000000
2021-03-22,Denmark,21D.Eta,3313,90,0.027165710836
2021-03-22,Estonia,20I.Alpha.V1,492,388,0.788617886178
2021-03-22,Finland,20H.Beta.V2,721,158,0.219140083217
2021-03-22,Finland,20I.Alpha.V1,721,456,0.632454923717
2021-03-22,France,20H.Beta.V2,2919,232,0.079479273723
2021-03-22,France,20I.Alpha.V1,2919,2295,0.786228160328
2021-03-22,France,20J.Gamma.V3,2919,22,0.007536827680
2021-03-22,France,21A.Delta,2919,0,0.000000000000
2021-03-22,France,21D.Eta,2919,39,0.013360739979
2021-03-22,Germany,20H.Beta.V2,7394,167,0.022585880443
2021-03-22,Germany,20I.Alpha.V1,7394,6016,0.813632675142
2021-03-22,Germany,20J.Gamma.V3,7394,14,0.001893427103
2021-03-22,Germany,21A.Delta,7394,0,0.000000000000
2021-03-22,Germany,21D.Eta,7394,54,0.007303218826
2021-03-22,Greece,20I.Alpha.V1,408,376,0.921568627450
2021-03-22,Ireland,20I.Alpha.V1,825,784,0.950303030303
2021-03-22,Ireland,21A.Delta,825,0,0.000000000000
2021-03-22,Israel,20H.Beta.V2,440,4,0.009090909090
2021-03-22,Israel,20I.Alpha.V1,440,429,0.975000000000
2021-03-22,Italy,20I.Alpha.V1,2157,1751,0.811775614279
2021-03-22,Italy,20J.Gamma.V3,2157,75,0.034770514603
2021-03-22,Italy,21A.Delta,2157,0,0.000000000000
2021-03-22,Italy,21D.Eta,2157,36,0.016689847009
2021-03-22,Japan,20I.Alpha.V1,1260,452,0.358730158730
2021-03-22,Japan,21A.Delta,1260,0,0.000000000000
2021-03-22,Latvia,20I.Alpha.V1,414,226,0.545893719806
2021-03-22,Lithuania,20I.Alpha.V1,790,507,0.641772151898
2021-03-22,Luxembourg,20H.Beta.V2,327,77,0.235474006116
