Date,Country,NumberOfTest
2021-03-20,Australia,0
2021-03-20,Austria,278034
2021-03-20,Belgium,56445
2021-03-20,Canada,120344
2021-03-20,Chile,76275
2021-03-20,Colombia,60700
2021-03-20,Costa Rica,5109
2021-03-20,Czechia,64443
2021-03-20,Denmark,130659
2021-03-20,Estonia,6806
2021-03-20,Finland,16822
2021-03-20,France,282851
2021-03-20,Germany,0
2021-03-20,Greece,51058
2021-03-20,Hungary,40476
2021-03-20,Iceland,441
2021-03-20,Ireland,16621
2021-03-20,Israel,19216
2021-03-20,Italy,471313
2021-03-20,Japan,30658
2021-03-20,Latvia,13840
2021-03-20,Lithuania,6450
2021-03-20,Luxembourg,8521
2021-03-20,Mexico,9845
2021-03-20,Netherlands,0
2021-03-20,New Zealand,0
2021-03-20,Norway,17231
2021-03-20,Poland,174530
2021-03-20,Portugal,33514
2021-03-20,Slovakia,789797
2021-03-20,Slovenia,2849
2021-03-20,South Korea,0
2021-03-20,Spain,0
2021-03-20,Sweden,44584
2021-03-20,Switzerland,22533
2021-03-20,Taiwan,219
2021-03-20,Turkey,190129
2021-03-20,United Kingdom,473050
2021-03-20,United States,987771
