Date,Country,NumberOfTest
2021-05-21,Australia,0
2021-05-21,Austria,424152
2021-05-21,Belgium,54849
2021-05-21,Canada,115414
2021-05-21,Chile,68158
2021-05-21,Colombia,70423
2021-05-21,Costa Rica,7124
2021-05-21,Czechia,215291
2021-05-21,Denmark,185226
2021-05-21,Estonia,4723
2021-05-21,Finland,18578
2021-05-21,France,453977
2021-05-21,Germany,0
2021-05-21,Greece,52690
2021-05-21,Hungary,10631
2021-05-21,Israel,28446
2021-05-21,Italy,350242
2021-05-21,Japan,117145
2021-05-21,Latvia,15458
2021-05-21,Lithuania,22782
2021-05-21,Luxembourg,16526
2021-05-21,Mexico,14884
2021-05-21,Netherlands,0
2021-05-21,New Zealand,4747
2021-05-21,Norway,26497
2021-05-21,Poland,113868
2021-05-21,Portugal,45373
2021-05-21,Slovakia,111298
2021-05-21,Slovenia,4045
2021-05-21,South Korea,34479
2021-05-21,Spain,0
2021-05-21,Sweden,37510
2021-05-21,Switzerland,38836
2021-05-21,Taiwan,21656
2021-05-21,Turkey,218846
2021-05-21,United Kingdom,715414
2021-05-21,United States,974191
