tDate,Country,NumberOfTest
2021-02-21,Australia,0
2021-02-21,Austria,198975
2021-02-21,Belgium,17000
2021-02-21,Canada,112310
2021-02-21,Chile,50028
2021-02-21,Colombia,48517
2021-02-21,Costa Rica,2532
2021-02-21,Czechia,35012
2021-02-21,Denmark,96917
2021-02-21,Estonia,5801
2021-02-21,Finland,11944
2021-02-21,France,43505
2021-02-21,Germany,0
2021-02-21,Greece,23139
2021-02-21,Hungary,23167
2021-02-21,Iceland,273
2021-02-21,Ireland,14901
2021-02-21,Israel,50262
2021-02-21,Italy,347567
2021-02-21,Japan,14683
2021-02-21,Latvia,4819
2021-02-21,Lithuania,3409
2021-02-21,Luxembourg,407
2021-02-21,Mexico,5571
2021-02-21,Netherlands,0
2021-02-21,New Zealand,7394
2021-02-21,Norway,7649
2021-02-21,Poland,74462
2021-02-21,Portugal,10854
2021-02-21,Slovakia,362528
2021-02-21,Slovenia,1428
2021-02-21,South Korea,23490
2021-02-21,Spain,0
2021-02-21,Sweden,32580
2021-02-21,Switzerland,8564
2021-02-21,Taiwan,231
2021-02-21,Turkey,101105
2021-02-21,United Kingdom,590591
2021-02-21,United States,683209
