Date,Country,NumberOfTest
2020-04-16,Australia,8626
2020-04-16,Austria,6015
2020-04-16,Belgium,10742
2020-04-16,Canada,32420
2020-04-16,Chile,6551
2020-04-16,Costa Rica,214
2020-04-16,Denmark,5299
2020-04-16,Estonia,1709
2020-04-16,Finland,3507
2020-04-16,Germany,0
2020-04-16,Greece,2001
2020-04-16,Hungary,1163
2020-04-16,Iceland,1332
2020-04-16,Ireland,3644
2020-04-16,Israel,12788
2020-04-16,Italy,60999
2020-04-16,Japan,5325
2020-04-16,Latvia,1406
2020-04-16,Lithuania,4258
2020-04-16,Luxembourg,958
2020-04-16,Mexico,2766
2020-04-16,Netherlands,0
2020-04-16,New Zealand,4396
2020-04-16,Norway,3110
2020-04-16,Poland,12578
2020-04-16,Portugal,13474
2020-04-16,Slovakia,3351
2020-04-16,Slovenia,1193
2020-04-16,South Korea,4981
2020-04-16,Spain,0
2020-04-16,Taiwan,903
2020-04-16,Turkey,40427
2020-04-16,United Kingdom,20906
2020-04-16,United States,184106
