Date,Country,NumberOfTest
2020-08-08,Australia,40197
2020-08-08,Austria,7934
2020-08-08,Belgium,16668
2020-08-08,Canada,95617
2020-08-08,Chile,27037
2020-08-08,Colombia,36604
2020-08-08,Costa Rica,1687
2020-08-08,Denmark,20788
2020-08-08,Estonia,452
2020-08-08,Finland,6327
2020-08-08,France,49804
2020-08-08,Germany,0
2020-08-08,Greece,9314
2020-08-08,Hungary,2970
2020-08-08,Iceland,396
2020-08-08,Ireland,4880
2020-08-08,Israel,8583
2020-08-08,Italy,79929
2020-08-08,Japan,13676
2020-08-08,Latvia,1891
2020-08-08,Lithuania,1987
2020-08-08,Luxembourg,5835
2020-08-08,Mexico,6958
2020-08-08,Netherlands,0
2020-08-08,New Zealand,4090
2020-08-08,Norway,3304
2020-08-08,Poland,-208620
2020-08-08,Portugal,10798
2020-08-08,Slovakia,1068
2020-08-08,Slovenia,304
2020-08-08,South Korea,7825
2020-08-08,Spain,0
2020-08-08,Sweden,7674
2020-08-08,Switzerland,3724
2020-08-08,Taiwan,173
2020-08-08,Turkey,63842
2020-08-08,United Kingdom,160651
2020-08-08,United States,815383
