tDate,Country,NumberOfTest
2021-08-20,Australia,0
2021-08-20,Austria,268611
2021-08-20,Belgium,53637
2021-08-20,Canada,77557
2021-08-20,Chile,61188
2021-08-20,Colombia,60492
2021-08-20,Costa Rica,8774
2021-08-20,Czechia,149685
2021-08-20,Denmark,74761
2021-08-20,Estonia,3121
2021-08-20,Finland,24303
2021-08-20,France,1064134
2021-08-20,Germany,0
2021-08-20,Greece,116848
2021-08-20,Hungary,0
2021-08-20,Iceland,2618
2021-08-20,Ireland,20458
2021-08-20,Israel,150614
2021-08-20,Italy,271127
2021-08-20,Japan,29228
2021-08-20,Latvia,9231
2021-08-20,Lithuania,17211
2021-08-20,Luxembourg,6019
2021-08-20,Mexico,39311
2021-08-20,Netherlands,0
2021-08-20,New Zealand,27899
2021-08-20,Norway,21472
2021-08-20,Poland,83007
2021-08-20,Portugal,58972
2021-08-20,Slovakia,23713
2021-08-20,Slovenia,2121
2021-08-20,South Korea,41455
2021-08-20,Sweden,17533
2021-08-20,Switzerland,33660
2021-08-20,Taiwan,21668
2021-08-20,Turkey,293252
2021-08-20,United Kingdom,747957
2021-08-20,United States,1281468
