Date,Country,NumberOfTest
2020-09-09,Australia,58936
2020-09-09,Austria,11582
2020-09-09,Belgium,35047
2020-09-09,Canada,92438
2020-09-09,Chile,21805
2020-09-09,Colombia,31714
2020-09-09,Costa Rica,2517
2020-09-09,Czechia,15507
2020-09-09,Denmark,48840
2020-09-09,Estonia,2380
2020-09-09,Finland,14213
2020-09-09,France,237363
2020-09-09,Germany,0
2020-09-09,Greece,0
2020-09-09,Hungary,8335
2020-09-09,Iceland,524
2020-09-09,Ireland,10749
2020-09-09,Israel,46407
2020-09-09,Italy,159036
2020-09-09,Japan,23072
2020-09-09,Latvia,2397
2020-09-09,Lithuania,5841
2020-09-09,Luxembourg,7731
2020-09-09,Mexico,15425
2020-09-09,Netherlands,0
2020-09-09,New Zealand,7707
2020-09-09,Norway,17961
2020-09-09,Poland,46106
2020-09-09,Portugal,21724
2020-09-09,Slovakia,5021
2020-09-09,Slovenia,2489
2020-09-09,South Korea,22993
2020-09-09,Spain,0
2020-09-09,Sweden,20382
2020-09-09,Switzerland,16236
2020-09-09,Taiwan,155
2020-09-09,Turkey,111193
2020-09-09,United Kingdom,220626
2020-09-09,United States,957795
