tDate,Country,NumberOfTest
2020-03-18,Belgium,2714
2020-03-18,Canada,16656
2020-03-18,Costa Rica,154
2020-03-18,Denmark,1226
2020-03-18,Estonia,481
2020-03-18,Finland,1025
2020-03-18,Germany,0
2020-03-18,Greece,0
2020-03-18,Hungary,216
2020-03-18,Iceland,1828
2020-03-18,Ireland,0
2020-03-18,Israel,2106
2020-03-18,Italy,16884
2020-03-18,Japan,0
2020-03-18,Latvia,755
2020-03-18,Luxembourg,880
2020-03-18,Mexico,786
2020-03-18,Netherlands,0
2020-03-18,New Zealand,1010
2020-03-18,Poland,1616
2020-03-18,Portugal,2465
2020-03-18,Slovakia,225
2020-03-18,Slovenia,1026
2020-03-18,South Korea,0
2020-03-18,Taiwan,1197
2020-03-18,United States,50845
