tDate,Country,NumberOfTest
2021-12-20,Australia,272987
2021-12-20,Austria,252128
2021-12-20,Belgium,66480
2021-12-20,Canada,139263
2021-12-20,Chile,55623
2021-12-20,Colombia,49792
2021-12-20,Costa Rica,68
2021-12-20,Czechia,104337
2021-12-20,Denmark,267219
2021-12-20,Estonia,7606
2021-12-20,Finland,22998
2021-12-20,France,1009742
2021-12-20,Greece,97428
2021-12-20,Hungary,66585
2021-12-20,Iceland,3445
2021-12-20,Ireland,27031
2021-12-20,Israel,116874
2021-12-20,Italy,381602
2021-12-20,Japan,44484
2021-12-20,Latvia,4933
2021-12-20,Lithuania,19821
2021-12-20,Luxembourg,3196
2021-12-20,Mexico,16054
2021-12-20,Netherlands,56287
2021-12-20,New Zealand,11588
2021-12-20,Norway,35645
2021-12-20,Poland,145948
2021-12-20,Portugal,151168
2021-12-20,Slovakia,63892
2021-12-20,Slovenia,4977
2021-12-20,Switzerland,59575
2021-12-20,Taiwan,21476
2021-12-20,Turkey,351253
2021-12-20,United Kingdom,1471414
2021-12-20,United States,1268691
