Date,Country,NumberOfTest
2020-12-16,Australia,31854
2020-12-16,Austria,28747
2020-12-16,Belgium,50570
2020-12-16,Canada,205728
2020-12-16,Chile,25899
2020-12-16,Colombia,60441
2020-12-16,Costa Rica,2950
2020-12-16,Czechia,52420
2020-12-16,Denmark,136603
2020-12-16,Estonia,6198
2020-12-16,Finland,18572
2020-12-16,France,337095
2020-12-16,Germany,0
2020-12-16,Greece,33727
2020-12-16,Hungary,12636
2020-12-16,Iceland,920
2020-12-16,Ireland,13120
2020-12-16,Israel,84131
2020-12-16,Italy,278461
2020-12-16,Japan,54303
2020-12-16,Latvia,9887
2020-12-16,Lithuania,14923
2020-12-16,Luxembourg,12783
2020-12-16,Mexico,33182
2020-12-16,Netherlands,0
2020-12-16,New Zealand,0
2020-12-16,Norway,23165
2020-12-16,Poland,82176
2020-12-16,Portugal,42225
2020-12-16,Slovakia,85680
2020-12-16,Slovenia,6350
2020-12-16,South Korea,0
2020-12-16,Spain,0
2020-12-16,Sweden,43821
2020-12-16,Switzerland,40962
2020-12-16,Taiwan,757
2020-12-16,Turkey,205397
2020-12-16,United Kingdom,364388
2020-12-16,United States,2068295
