Date,Country,NumberOfTest
2021-02-12,Australia,0
2021-02-12,Austria,203715
2021-02-12,Belgium,46466
2021-02-12,Canada,129621
2021-02-12,Chile,55262
2021-02-12,Colombia,53936
2021-02-12,Costa Rica,2477
2021-02-12,Czechia,71656
2021-02-12,Denmark,131567
2021-02-12,Estonia,5327
2021-02-12,Finland,18501
2021-02-12,France,402956
2021-02-12,Germany,0
2021-02-12,Greece,47662
2021-02-12,Hungary,19439
2021-02-12,Iceland,546
2021-02-12,Ireland,18841
2021-02-12,Israel,67596
2021-02-12,Italy,380681
2021-02-12,Japan,56650
2021-02-12,Latvia,12104
2021-02-12,Lithuania,8983
2021-02-12,Luxembourg,14447
2021-02-12,Mexico,30610
2021-02-12,Netherlands,0
2021-02-12,New Zealand,5090
2021-02-12,Norway,18115
2021-02-12,Poland,97426
2021-02-12,Portugal,38752
2021-02-12,Slovakia,351391
2021-02-12,Slovenia,4458
2021-02-12,South Korea,24114
2021-02-12,Spain,0
2021-02-12,Sweden,30710
2021-02-12,Switzerland,32403
2021-02-12,Taiwan,276
2021-02-12,Turkey,129630
2021-02-12,United Kingdom,626243
2021-02-12,United States,1411318
