Date,Country,NumberOfTest
2020-10-06,Australia,0
2020-10-06,Austria,18237
2020-10-06,Belgium,45882
2020-10-06,Canada,221163
2020-10-06,Chile,26316
2020-10-06,Colombia,37350
2020-10-06,Costa Rica,1716
2020-10-06,Czechia,23053
2020-10-06,Denmark,53627
2020-10-06,Estonia,1865
2020-10-06,Finland,15492
2020-10-06,France,213566
2020-10-06,Germany,0
2020-10-06,Greece,13168
2020-10-06,Hungary,5699
2020-10-06,Iceland,2386
2020-10-06,Ireland,11646
2020-10-06,Israel,47046
2020-10-06,Italy,162255
2020-10-06,Japan,20435
2020-10-06,Latvia,3818
2020-10-06,Lithuania,6046
2020-10-06,Luxembourg,6613
2020-10-06,Mexico,14767
2020-10-06,Netherlands,0
2020-10-06,New Zealand,5669
2020-10-06,Norway,15020
2020-10-06,Poland,47332
2020-10-06,Portugal,23191
2020-10-06,Slovakia,8679
2020-10-06,Slovenia,3998
2020-10-06,South Korea,12765
2020-10-06,Spain,0
2020-10-06,Sweden,19916
2020-10-06,Switzerland,14756
2020-10-06,Taiwan,170
2020-10-06,Turkey,112421
2020-10-06,United Kingdom,261336
2020-10-06,United States,1226615
