Date,Country,NumberOfTest
2021-01-15,Australia,0
2021-01-15,Austria,79635
2021-01-15,Belgium,43992
2021-01-15,Canada,277587
2021-01-15,Chile,58977
2021-01-15,Colombia,86722
2021-01-15,Costa Rica,2621
2021-01-15,Czechia,60165
2021-01-15,Denmark,100907
2021-01-15,Estonia,4874
2021-01-15,Finland,11189
2021-01-15,France,350021
2021-01-15,Germany,0
2021-01-15,Greece,32528
2021-01-15,Hungary,19098
2021-01-15,Iceland,531
2021-01-15,Ireland,22833
2021-01-15,Israel,102024
2021-01-15,Italy,354391
2021-01-15,Japan,70610
2021-01-15,Latvia,12453
2021-01-15,Lithuania,10856
2021-01-15,Luxembourg,8077
2021-01-15,Mexico,44502
2021-01-15,Netherlands,0
2021-01-15,New Zealand,0
2021-01-15,Norway,18577
2021-01-15,Poland,145755
2021-01-15,Portugal,62507
2021-01-15,Slovakia,84420
2021-01-15,Slovenia,4763
2021-01-15,South Korea,60135
2021-01-15,Spain,0
2021-01-15,Sweden,29567
2021-01-15,Switzerland,22796
2021-01-15,Taiwan,1174
2021-01-15,Turkey,167211
2021-01-15,United Kingdom,596727
2021-01-15,United States,2027820
