Date,Country,NumberOfTest
2021-03-24,Australia,0
2021-03-24,Austria,300842
2021-03-24,Belgium,80093
2021-03-24,Canada,80180
2021-03-24,Chile,39770
2021-03-24,Colombia,43616
2021-03-24,Costa Rica,3825
2021-03-24,Czechia,230246
2021-03-24,Denmark,173667
2021-03-24,Estonia,7299
2021-03-24,Finland,22244
2021-03-24,France,483128
2021-03-24,Germany,0
2021-03-24,Greece,55842
2021-03-24,Hungary,33316
2021-03-24,Iceland,2007
2021-03-24,Ireland,20112
2021-03-24,Israel,45322
2021-03-24,Italy,478978
2021-03-24,Japan,59974
2021-03-24,Latvia,16899
2021-03-24,Lithuania,9238
2021-03-24,Luxembourg,11753
2021-03-24,Mexico,22097
2021-03-24,Netherlands,0
2021-03-24,New Zealand,0
2021-03-24,Norway,34755
2021-03-24,Poland,191046
2021-03-24,Portugal,29256
2021-03-24,Slovakia,171893
2021-03-24,Slovenia,6432
2021-03-24,South Korea,0
2021-03-24,Spain,0
2021-03-24,Sweden,48560
2021-03-24,Switzerland,39738
2021-03-24,Taiwan,571
2021-03-24,Turkey,221738
2021-03-24,United Kingdom,1813842
2021-03-24,United States,1650540
