tDate,Country,NumberOfTest
2020-12-03,Australia,0
2020-12-03,Austria,31294
2020-12-03,Belgium,34155
2020-12-03,Canada,204950
2020-12-03,Chile,36062
2020-12-03,Colombia,57462
2020-12-03,Costa Rica,2597
2020-12-03,Czechia,33091
2020-12-03,Denmark,88424
2020-12-03,Estonia,4741
2020-12-03,Finland,21894
2020-12-03,France,200341
2020-12-03,Germany,0
2020-12-03,Greece,29799
2020-12-03,Hungary,26044
2020-12-03,Iceland,872
2020-12-03,Ireland,12047
2020-12-03,Israel,65499
2020-12-03,Italy,317639
2020-12-03,Japan,36823
2020-12-03,Latvia,8670
2020-12-03,Lithuania,13944
2020-12-03,Luxembourg,13105
2020-12-03,Mexico,29843
2020-12-03,Netherlands,0
2020-12-03,New Zealand,5843
2020-12-03,Norway,17591
2020-12-03,Poland,75659
2020-12-03,Portugal,43824
2020-12-03,Slovakia,46118
2020-12-03,Slovenia,6928
2020-12-03,South Korea,24282
2020-12-03,Spain,0
2020-12-03,Sweden,38302
2020-12-03,Switzerland,27360
2020-12-03,Taiwan,898
2020-12-03,Turkey,187518
2020-12-03,United Kingdom,389476
2020-12-03,United States,2145295
