Date,Country,NumberOfTest
2021-10-05,Australia,173303
2021-10-05,Austria,365396
2021-10-05,Belgium,54466
2021-10-05,Canada,82466
2021-10-05,Chile,31606
2021-10-05,Colombia,37791
2021-10-05,Costa Rica,1174
2021-10-05,Czechia,54240
2021-10-05,Denmark,39074
2021-10-05,Estonia,6858
2021-10-05,Finland,14699
2021-10-05,France,456267
2021-10-05,Greece,370311
2021-10-05,Hungary,8122
2021-10-05,Iceland,1839
2021-10-05,Ireland,17338
2021-10-05,Israel,115264
2021-10-05,Italy,379350
2021-10-05,Japan,62277
2021-10-05,Lithuania,27064
2021-10-05,Luxembourg,2454
2021-10-05,Mexico,22022
2021-10-05,New Zealand,14905
2021-10-05,Norway,11122
2021-10-05,Poland,87956
2021-10-05,Portugal,17404
2021-10-05,Slovakia,42807
2021-10-05,Slovenia,6177
2021-10-05,South Korea,18100
2021-10-05,Switzerland,32152
2021-10-05,Taiwan,23162
2021-10-05,Turkey,355564
2021-10-05,United Kingdom,856353
2021-10-05,United States,1517780
