Date,Country,NumberOfTest
2021-07-09,Australia,0
2021-07-09,Austria,314230
2021-07-09,Belgium,73099
2021-07-09,Canada,64407
2021-07-09,Chile,61922
2021-07-09,Colombia,116182
2021-07-09,Costa Rica,9431
2021-07-09,Czechia,131202
2021-07-09,Denmark,108995
2021-07-09,Estonia,4658
2021-07-09,Finland,13114
2021-07-09,France,463818
2021-07-09,Germany,0
2021-07-09,Greece,68722
2021-07-09,Hungary,13201
2021-07-09,Israel,61505
2021-07-09,Italy,246049
2021-07-09,Japan,71192
2021-07-09,Latvia,6972
2021-07-09,Lithuania,10925
2021-07-09,Luxembourg,9731
2021-07-09,Mexico,26958
2021-07-09,Netherlands,0
2021-07-09,New Zealand,3162
2021-07-09,Norway,14556
2021-07-09,Poland,80981
2021-07-09,Portugal,87272
2021-07-09,Slovakia,21882
2021-07-09,Slovenia,1641
2021-07-09,South Korea,32125
2021-07-09,Sweden,11435
2021-07-09,Switzerland,43750
2021-07-09,Taiwan,23253
2021-07-09,United Kingdom,901977
2021-07-09,United States,564432
