tDate,Country,NumberOfTest
2020-06-07,Australia,26874
2020-06-07,Austria,3685
2020-06-07,Belgium,7307
2020-06-07,Canada,72788
2020-06-07,Chile,21263
2020-06-07,Colombia,10885
2020-06-07,Costa Rica,268
2020-06-07,Denmark,7766
2020-06-07,Estonia,697
2020-06-07,Finland,962
2020-06-07,France,7587
2020-06-07,Germany,0
2020-06-07,Greece,0
2020-06-07,Hungary,3349
2020-06-07,Iceland,7
2020-06-07,Ireland,2828
2020-06-07,Israel,15098
2020-06-07,Italy,77372
2020-06-07,Japan,1725
2020-06-07,Latvia,1125
2020-06-07,Lithuania,1932
2020-06-07,Luxembourg,506
2020-06-07,Mexico,4269
2020-06-07,Netherlands,0
2020-06-07,New Zealand,794
2020-06-07,Norway,948
2020-06-07,Poland,33779
2020-06-07,Portugal,6614
2020-06-07,Slovakia,160
2020-06-07,Slovenia,211
2020-06-07,South Korea,8937
2020-06-07,Spain,0
2020-06-07,Switzerland,1529
2020-06-07,Taiwan,108
2020-06-07,Turkey,35335
2020-06-07,United Kingdom,86926
2020-06-07,United States,405454
