Date,Country,NumberOfTest
2021-09-27,Australia,171201
2021-09-27,Austria,296446
2021-09-27,Belgium,41151
2021-09-27,Canada,84506
2021-09-27,Chile,58300
2021-09-27,Colombia,30427
2021-09-27,Costa Rica,3205
2021-09-27,Czechia,75325
2021-09-27,Denmark,40213
2021-09-27,Estonia,6220
2021-09-27,Finland,8140
2021-09-27,France,573016
2021-09-27,Greece,78691
2021-09-27,Hungary,35392
2021-09-27,Iceland,1743
2021-09-27,Ireland,15627
2021-09-27,Israel,143125
2021-09-27,Italy,150259
2021-09-27,Japan,79290
2021-09-27,Lithuania,25154
2021-09-27,Luxembourg,1753
2021-09-27,Mexico,29094
2021-09-27,New Zealand,6906
2021-09-27,Norway,17295
2021-09-27,Poland,68087
2021-09-27,Portugal,59532
2021-09-27,Slovakia,43999
2021-09-27,Slovenia,4789
2021-09-27,South Korea,0
2021-09-27,Spain,0
2021-09-27,Switzerland,33469
2021-09-27,Taiwan,30603
2021-09-27,Turkey,353324
2021-09-27,United Kingdom,997722
2021-09-27,United States,1133079
