Date,Country,NumberOfTest
2021-02-09,Australia,0
2021-02-09,Austria,310611
2021-02-09,Belgium,60756
2021-02-09,Canada,66348
2021-02-09,Chile,39024
2021-02-09,Colombia,47608
2021-02-09,Costa Rica,2114
2021-02-09,Czechia,68247
2021-02-09,Denmark,118727
2021-02-09,Estonia,5900
2021-02-09,Finland,21939
2021-02-09,France,379381
2021-02-09,Germany,0
2021-02-09,Greece,53015
2021-02-09,Hungary,6410
2021-02-09,Iceland,665
2021-02-09,Ireland,15126
2021-02-09,Israel,81706
2021-02-09,Italy,356979
2021-02-09,Japan,78153
2021-02-09,Latvia,13108
2021-02-09,Lithuania,7766
2021-02-09,Luxembourg,11696
2021-02-09,Mexico,33432
2021-02-09,Netherlands,0
2021-02-09,New Zealand,0
2021-02-09,Norway,20980
2021-02-09,Poland,86450
2021-02-09,Portugal,38694
2021-02-09,Slovakia,227406
2021-02-09,Slovenia,5061
2021-02-09,South Korea,0
2021-02-09,Spain,0
2021-02-09,Sweden,30710
2021-02-09,Switzerland,33411
2021-02-09,Taiwan,784
2021-02-09,Turkey,137712
2021-02-09,United Kingdom,579266
2021-02-09,United States,1690945
