tDate,Country,NumberOfTest
2022-01-05,Australia,236073
2022-01-05,Austria,570586
2022-01-05,Belgium,100913
2022-01-05,Canada,137777
2022-01-05,Chile,52023
2022-01-05,Colombia,91078
2022-01-05,Czechia,74664
2022-01-05,Denmark,183139
2022-01-05,Estonia,8816
2022-01-05,Finland,29957
2022-01-05,France,1701257
2022-01-05,Greece,416400
2022-01-05,Hungary,17764
2022-01-05,Iceland,6583
2022-01-05,Ireland,40322
2022-01-05,Israel,332386
2022-01-05,Italy,1094255
2022-01-05,Japan,85750
2022-01-05,Latvia,12766
2022-01-05,Lithuania,19961
2022-01-05,Luxembourg,6113
2022-01-05,Mexico,51142
2022-01-05,Netherlands,90538
2022-01-05,New Zealand,0
2022-01-05,Norway,27334
2022-01-05,Poland,214186
2022-01-05,Portugal,264802
2022-01-05,Slovakia,41633
2022-01-05,Slovenia,10097
2022-01-05,Switzerland,97591
2022-01-05,Taiwan,19960
2022-01-05,Turkey,417787
