Date,Country,NumberOfTest
2021-01-07,Australia,87889
2021-01-07,Austria,16752
2021-01-07,Belgium,44355
2021-01-07,Canada,245435
2021-01-07,Chile,47718
2021-01-07,Colombia,68347
2021-01-07,Costa Rica,3434
2021-01-07,Czechia,67240
2021-01-07,Denmark,86421
2021-01-07,Estonia,5683
2021-01-07,Finland,8975
2021-01-07,France,326630
2021-01-07,Germany,0
2021-01-07,Greece,8697
2021-01-07,Hungary,24290
2021-01-07,Iceland,697
2021-01-07,Ireland,28610
2021-01-07,Israel,117948
2021-01-07,Italy,174698
2021-01-07,Japan,81440
2021-01-07,Latvia,13525
2021-01-07,Lithuania,13695
2021-01-07,Luxembourg,10777
2021-01-07,Mexico,44962
2021-01-07,Netherlands,0
2021-01-07,New Zealand,0
2021-01-07,Norway,29215
2021-01-07,Poland,103514
2021-01-07,Portugal,54836
2021-01-07,Slovakia,99547
2021-01-07,Slovenia,5259
2021-01-07,South Korea,65261
2021-01-07,Spain,0
2021-01-07,Sweden,30475
2021-01-07,Switzerland,27560
2021-01-07,Taiwan,699
2021-01-07,Turkey,183003
2021-01-07,United Kingdom,619941
2021-01-07,United States,2250719
