tDate,Country,NumberOfTest
2020-08-23,Australia,0
2020-08-23,Austria,7832
2020-08-23,Belgium,8529
2020-08-23,Canada,100344
2020-08-23,Chile,31981
2020-08-23,Colombia,23879
2020-08-23,Costa Rica,2093
2020-08-23,Denmark,27561
2020-08-23,Estonia,424
2020-08-23,Finland,12725
2020-08-23,France,23588
2020-08-23,Germany,0
2020-08-23,Greece,0
2020-08-23,Hungary,2181
2020-08-23,Iceland,291
2020-08-23,Ireland,5438
2020-08-23,Israel,13298
2020-08-23,Italy,114834
2020-08-23,Japan,10953
2020-08-23,Latvia,1180
2020-08-23,Lithuania,1833
2020-08-23,Luxembourg,988
2020-08-23,Mexico,4300
2020-08-23,Netherlands,0
2020-08-23,New Zealand,4477
2020-08-23,Norway,6967
2020-08-23,Poland,38617
2020-08-23,Portugal,8414
2020-08-23,Slovakia,929
2020-08-23,Slovenia,543
2020-08-23,South Korea,10249
2020-08-23,Spain,0
2020-08-23,Sweden,9364
2020-08-23,Switzerland,3299
2020-08-23,Taiwan,117
2020-08-23,Turkey,80302
2020-08-23,United Kingdom,165455
2020-08-23,United States,561586
