Date,Country,NumberOfTest
2021-11-30,Australia,128347
2021-11-30,Austria,469103
2021-11-30,Belgium,139053
2021-11-30,Canada,66820
2021-11-30,Chile,40539
2021-11-30,Colombia,47817
2021-11-30,Czechia,139373
2021-11-30,Denmark,196823
2021-11-30,Estonia,6521
2021-11-30,Finland,23564
2021-11-30,France,811184
2021-11-30,Greece,636441
2021-11-30,Hungary,20309
2021-11-30,Iceland,2002
2021-11-30,Ireland,30309
2021-11-30,Israel,96475
2021-11-30,Italy,800337
2021-11-30,Japan,49484
2021-11-30,Latvia,11646
2021-11-30,Lithuania,27753
2021-11-30,Luxembourg,5762
2021-11-30,Mexico,16031
2021-11-30,New Zealand,0
2021-11-30,Norway,24313
2021-11-30,Poland,206844
2021-11-30,Portugal,116981
2021-11-30,Slovakia,74292
2021-11-30,Slovenia,6980
2021-11-30,Switzerland,65190
2021-11-30,Taiwan,17190
2021-11-30,Turkey,359420
2021-11-30,United Kingdom,995010
2021-11-30,United States,1413568
