tDate,Country,NumberOfTest
2021-08-14,Australia,0
2021-08-14,Austria,344791
2021-08-14,Belgium,56609
2021-08-14,Canada,54585
2021-08-14,Chile,61058
2021-08-14,Colombia,57001
2021-08-14,Costa Rica,7779
2021-08-14,Czechia,97963
2021-08-14,Denmark,45326
2021-08-14,Estonia,4448
2021-08-14,Finland,15242
2021-08-14,France,838973
2021-08-14,Germany,0
2021-08-14,Greece,0
2021-08-14,Hungary,0
2021-08-14,Iceland,2428
2021-08-14,Ireland,23186
2021-08-14,Israel,83138
2021-08-14,Italy,313748
2021-08-14,Japan,81455
2021-08-14,Latvia,11084
2021-08-14,Lithuania,9748
2021-08-14,Luxembourg,4305
2021-08-14,Mexico,17154
2021-08-14,Netherlands,0
2021-08-14,New Zealand,0
2021-08-14,Norway,10354
2021-08-14,Poland,82033
2021-08-14,Portugal,58670
2021-08-14,Slovakia,12383
2021-08-14,Slovenia,921
2021-08-14,South Korea,28143
2021-08-14,Sweden,14839
2021-08-14,Switzerland,20940
2021-08-14,Taiwan,16070
2021-08-14,United Kingdom,643282
2021-08-14,United States,708375
