Date,Country,NumberOfTest
2021-07-15,Australia,113068
2021-07-15,Austria,729443
2021-07-15,Belgium,86762
2021-07-15,Canada,65627
2021-07-15,Chile,63357
2021-07-15,Colombia,95922
2021-07-15,Costa Rica,9273
2021-07-15,Czechia,111414
2021-07-15,Denmark,109664
2021-07-15,Estonia,3665
2021-07-15,Finland,14062
2021-07-15,France,442494
2021-07-15,Hungary,7456
2021-07-15,Israel,65578
2021-07-15,Italy,235413
2021-07-15,Japan,67513
2021-07-15,Latvia,6651
2021-07-15,Lithuania,7995
2021-07-15,Luxembourg,9401
2021-07-15,Mexico,28345
2021-07-15,New Zealand,7330
2021-07-15,Norway,12509
2021-07-15,Poland,81994
2021-07-15,Portugal,73504
2021-07-15,Slovakia,14887
2021-07-15,Slovenia,1685
2021-07-15,South Korea,29023
2021-07-15,Switzerland,37777
2021-07-15,Taiwan,18356
2021-07-15,United Kingdom,1177716
2021-07-15,United States,499550
