Date,Country,NumberOfTest
2021-08-27,Australia,0
2021-08-27,Austria,255447
2021-08-27,Belgium,50291
2021-08-27,Canada,84945
2021-08-27,Chile,60920
2021-08-27,Colombia,55484
2021-08-27,Costa Rica,10994
2021-08-27,Czechia,121705
2021-08-27,Denmark,76020
2021-08-27,Estonia,4699
2021-08-27,Finland,28520
2021-08-27,France,978371
2021-08-27,Germany,0
2021-08-27,Greece,112929
2021-08-27,Hungary,10117
2021-08-27,Iceland,2668
2021-08-27,Ireland,21793
2021-08-27,Israel,140095
2021-08-27,Italy,323182
2021-08-27,Japan,174004
2021-08-27,Latvia,33416
2021-08-27,Lithuania,16697
2021-08-27,Luxembourg,6039
2021-08-27,Mexico,32423
2021-08-27,Netherlands,0
2021-08-27,New Zealand,37021
2021-08-27,Norway,28712
2021-08-27,Poland,486327
2021-08-27,Portugal,71675
2021-08-27,Slovakia,20992
2021-08-27,Slovenia,3103
2021-08-27,South Korea,53113
2021-08-27,Sweden,26075
2021-08-27,Switzerland,40478
2021-08-27,Taiwan,23044
2021-08-27,Turkey,295647
2021-08-27,United Kingdom,880487
2021-08-27,United States,1406148
