Date,Country,NumberOfTest
2020-12-04,Australia,0
2020-12-04,Austria,28674
2020-12-04,Belgium,36225
2020-12-04,Canada,214292
2020-12-04,Chile,40641
2020-12-04,Colombia,56800
2020-12-04,Costa Rica,2606
2020-12-04,Czechia,32083
2020-12-04,Denmark,81877
2020-12-04,Estonia,6455
2020-12-04,Finland,21704
2020-12-04,France,218844
2020-12-04,Germany,0
2020-12-04,Greece,27082
2020-12-04,Hungary,18479
2020-12-04,Iceland,964
2020-12-04,Ireland,11856
2020-12-04,Israel,61640
2020-12-04,Italy,296232
2020-12-04,Japan,38145
2020-12-04,Latvia,8065
2020-12-04,Lithuania,14969
2020-12-04,Luxembourg,12186
2020-12-04,Mexico,29514
2020-12-04,Netherlands,0
2020-12-04,New Zealand,6846
2020-12-04,Norway,15710
2020-12-04,Poland,80330
2020-12-04,Portugal,43430
2020-12-04,Slovakia,49857
2020-12-04,Slovenia,6344
2020-12-04,South Korea,27295
2020-12-04,Spain,0
2020-12-04,Sweden,38302
2020-12-04,Switzerland,28553
2020-12-04,Taiwan,283
2020-12-04,Turkey,194435
2020-12-04,United Kingdom,380886
2020-12-04,United States,2115090
