Date,Country,NumberOfTest
2020-12-19,Australia,0
2020-12-19,Austria,33800
2020-12-19,Belgium,32933
2020-12-19,Canada,271985
2020-12-19,Chile,46726
2020-12-19,Colombia,62661
2020-12-19,Costa Rica,4182
2020-12-19,Czechia,35345
2020-12-19,Denmark,115116
2020-12-19,Estonia,5303
2020-12-19,Finland,15100
2020-12-19,France,336141
2020-12-19,Germany,0
2020-12-19,Greece,32601
2020-12-19,Hungary,24204
2020-12-19,Iceland,582
2020-12-19,Ireland,13941
2020-12-19,Israel,62141
2020-12-19,Italy,251297
2020-12-19,Japan,27049
2020-12-19,Latvia,10057
2020-12-19,Lithuania,9809
2020-12-19,Luxembourg,12498
2020-12-19,Mexico,17387
2020-12-19,Netherlands,0
2020-12-19,New Zealand,0
2020-12-19,Norway,13331
2020-12-19,Poland,59397
2020-12-19,Portugal,31664
2020-12-19,Slovakia,29386
2020-12-19,Slovenia,2646
2020-12-19,South Korea,40837
2020-12-19,Spain,0
2020-12-19,Sweden,43821
2020-12-19,Switzerland,26371
2020-12-19,Taiwan,240
2020-12-19,Turkey,173132
2020-12-19,United Kingdom,440584
2020-12-19,United States,1700609
