Date,Country,NumberOfTest
2021-02-08,Australia,0
2021-02-08,Austria,128988
2021-02-08,Belgium,44899
2021-02-08,Canada,99304
2021-02-08,Chile,50505
2021-02-08,Colombia,50732
2021-02-08,Costa Rica,1503
2021-02-08,Czechia,81083
2021-02-08,Denmark,128813
2021-02-08,Estonia,5269
2021-02-08,Finland,14031
2021-02-08,France,427443
2021-02-08,Germany,0
2021-02-08,Greece,18152
2021-02-08,Hungary,9720
2021-02-08,Iceland,1070
2021-02-08,Ireland,12697
2021-02-08,Israel,91354
2021-02-08,Italy,199165
2021-02-08,Japan,58499
2021-02-08,Latvia,3327
2021-02-08,Lithuania,7456
2021-02-08,Luxembourg,10523
2021-02-08,Mexico,36819
2021-02-08,Netherlands,0
2021-02-08,New Zealand,0
2021-02-08,Norway,22913
2021-02-08,Poland,41888
2021-02-08,Portugal,34923
2021-02-08,Slovakia,356681
2021-02-08,Slovenia,1493
2021-02-08,South Korea,0
2021-02-08,Spain,0
2021-02-08,Sweden,30710
2021-02-08,Switzerland,33327
2021-02-08,Taiwan,1108
2021-02-08,Turkey,139378
2021-02-08,United Kingdom,616718
2021-02-08,United States,1041491
