tDate,Country,NumberOfTest
2022-02-13,Australia,86899
2022-02-13,Austria,369192
2022-02-13,Belgium,21863
2022-02-13,Canada,5465
2022-02-13,Chile,123943
2022-02-13,Colombia,36047
2022-02-13,Czechia,33466
2022-02-13,Denmark,105112
2022-02-13,Estonia,5395
2022-02-13,Finland,10024
2022-02-13,France,122239
2022-02-13,Germany,0
2022-02-13,Greece,0
2022-02-13,Hungary,0
2022-02-13,Iceland,3939
2022-02-13,Ireland,14229
2022-02-13,Israel,132783
2022-02-13,Italy,462881
2022-02-13,Japan,70339
2022-02-13,Latvia,17799
2022-02-13,Lithuania,9681
2022-02-13,Luxembourg,392
2022-02-13,Mexico,5174
2022-02-13,Netherlands,84308
2022-02-13,New Zealand,0
2022-02-13,Norway,10996
2022-02-13,Poland,81789
2022-02-13,Portugal,51535
2022-02-13,Slovakia,35430
2022-02-13,Slovenia,50890
2022-02-13,South Korea,204843
2022-02-13,Spain,54484
2022-02-13,Sweden,21350
2022-02-13,Switzerland,27536
2022-02-13,Taiwan,20721
2022-02-13,Turkey,419556
2022-02-13,United Kingdom,809051
