Date,Country,NumberOfTest
2021-03-25,Australia,39005
2021-03-25,Austria,418328
2021-03-25,Belgium,81314
2021-03-25,Canada,119182
2021-03-25,Chile,70922
2021-03-25,Colombia,52093
2021-03-25,Costa Rica,4455
2021-03-25,Czechia,226613
2021-03-25,Denmark,191865
2021-03-25,Estonia,5906
2021-03-25,Finland,22482
2021-03-25,France,570672
2021-03-25,Germany,0
2021-03-25,Greece,52893
2021-03-25,Hungary,35417
2021-03-25,Iceland,1220
2021-03-25,Ireland,17979
2021-03-25,Israel,65419
2021-03-25,Italy,467169
2021-03-25,Japan,62645
2021-03-25,Latvia,17518
2021-03-25,Lithuania,10474
2021-03-25,Luxembourg,11584
2021-03-25,Mexico,22409
2021-03-25,Netherlands,0
2021-03-25,New Zealand,0
2021-03-25,Norway,33388
2021-03-25,Poland,204652
2021-03-25,Portugal,27478
2021-03-25,Slovakia,205378
2021-03-25,Slovenia,6646
2021-03-25,South Korea,0
2021-03-25,Spain,0
2021-03-25,Sweden,48560
2021-03-25,Switzerland,43748
2021-03-25,Taiwan,716
2021-03-25,Turkey,222753
2021-03-25,United Kingdom,1275285
2021-03-25,United States,1441788
