Date,Country,NumberOfTest
2020-06-22,Australia,66525
2020-06-22,Austria,5216
2020-06-22,Belgium,11129
2020-06-22,Canada,72472
2020-06-22,Chile,18645
2020-06-22,Colombia,15971
2020-06-22,Costa Rica,244
2020-06-22,Denmark,21462
2020-06-22,Estonia,625
2020-06-22,Finland,1604
2020-06-22,France,48504
2020-06-22,Germany,0
2020-06-22,Greece,2843
2020-06-22,Hungary,1789
2020-06-22,Iceland,44
2020-06-22,Ireland,1498
2020-06-22,Israel,14009
2020-06-22,Italy,45124
2020-06-22,Japan,5376
2020-06-22,Latvia,1163
2020-06-22,Lithuania,3142
2020-06-22,Luxembourg,6053
2020-06-22,Mexico,12648
2020-06-22,Netherlands,0
2020-06-22,New Zealand,4151
2020-06-22,Norway,5039
2020-06-22,Poland,25234
2020-06-22,Portugal,12026
2020-06-22,Slovakia,661
2020-06-22,Slovenia,984
2020-06-22,South Korea,6271
2020-06-22,Spain,0
2020-06-22,Switzerland,8167
2020-06-22,Taiwan,156
2020-06-22,Turkey,41413
2020-06-22,United Kingdom,63026
2020-06-22,United States,547505
