tDate,Country,NumberOfTest
2022-03-13,Australia,64640707
2022-03-13,Austria,166378307
2022-03-13,Belgium,32190049
2022-03-13,Canada,58735152
2022-03-13,Chile,33856467
2022-03-13,Colombia,33454880
2022-03-13,Costa Rica,3005867
2022-03-13,Czechia,53271021
2022-03-13,Denmark,63442686
2022-03-13,Estonia,3193035
2022-03-13,Finland,10174064
2022-03-13,France,251282519
2022-03-13,Germany,115474370
2022-03-13,Greece,0
2022-03-13,Hungary,0
2022-03-13,Iceland,1244924
2022-03-13,Ireland,11537846
2022-03-13,Israel,47410976
2022-03-13,Italy,192560616
2022-03-13,Japan,39445713
2022-03-13,Latvia,6854964
2022-03-13,Lithuania,8284730
2022-03-13,Luxembourg,4104711
2022-03-13,Mexico,14731310
2022-03-13,Netherlands,29369843
2022-03-13,New Zealand,6838404
2022-03-13,Norway,10912286
2022-03-13,Poland,33758744
2022-03-13,Portugal,39121323
2022-03-13,Slovakia,50046089
2022-03-13,Slovenia,4560438
2022-03-13,South Korea,68798383
2022-03-13,Spain,86962121
2022-03-13,Sweden,18081511
2022-03-13,Switzerland,19420438
2022-03-13,Taiwan,6608884
2022-03-13,Turkey,148807021
2022-03-13,United Kingdom,473241668
2022-03-13,United States,834406101
