Date,Country,NumberOfTest
2021-10-30,Australia,159853
2021-10-30,Austria,338420
2021-10-30,Belgium,85866
2021-10-30,Canada,92802
2021-10-30,Chile,70922
2021-10-30,Colombia,37245
2021-10-30,Costa Rica,1531
2021-10-30,Czechia,70077
2021-10-30,Denmark,69800
2021-10-30,Estonia,7546
2021-10-30,Finland,7174
2021-10-30,France,331513
2021-10-30,Germany,0
2021-10-30,Greece,0
2021-10-30,Hungary,0
2021-10-30,Iceland,1295
2021-10-30,Ireland,25252
2021-10-30,Israel,37983
2021-10-30,Italy,538036
2021-10-30,Japan,42060
2021-10-30,Latvia,27429
2021-10-30,Lithuania,12925
2021-10-30,Luxembourg,2754
2021-10-30,Mexico,6247
2021-10-30,Netherlands,0
2021-10-30,New Zealand,0
2021-10-30,Norway,5404
2021-10-30,Poland,97177
2021-10-30,Portugal,30292
2021-10-30,Slovakia,28797
2021-10-30,Slovenia,3951
2021-10-30,Sweden,17969
2021-10-30,Switzerland,21241
2021-10-30,Taiwan,14670
2021-10-30,Turkey,344163
2021-10-30,United Kingdom,656870
2021-10-30,United States,827372
