Date,Country,NumberOfTest
2021-07-21,Australia,0
2021-07-21,Austria,311223
2021-07-21,Belgium,45997
2021-07-21,Canada,46839
2021-07-21,Chile,32377
2021-07-21,Colombia,42799
2021-07-21,Czechia,79811
2021-07-21,Denmark,71602
2021-07-21,Estonia,2693
2021-07-21,Finland,17110
2021-07-21,France,512760
2021-07-21,Greece,75578
2021-07-21,Hungary,6541
2021-07-21,Iceland,3242
2021-07-21,Israel,85830
2021-07-21,Italy,285905
2021-07-21,Japan,69363
2021-07-21,Latvia,6771
2021-07-21,Lithuania,9956
2021-07-21,Luxembourg,6247
2021-07-21,Mexico,37546
2021-07-21,New Zealand,0
2021-07-21,Norway,12748
2021-07-21,Poland,85028
2021-07-21,Portugal,65124
2021-07-21,Slovakia,13638
2021-07-21,Slovenia,1448
2021-07-21,South Korea,0
2021-07-21,Switzerland,21703
2021-07-21,Taiwan,25145
2021-07-21,United Kingdom,1038954
2021-07-21,United States,658937
