tDate,Country,NumberOfTest
2022-01-24,Australia,110638
2022-01-24,Austria,457621
2022-01-24,Belgium,111251
2022-01-24,Canada,211030
2022-01-24,Chile,96154
2022-01-24,Colombia,87483
2022-01-24,Costa Rica,7704
2022-01-24,Czechia,177525
2022-01-24,Denmark,259868
2022-01-24,Estonia,12374
2022-01-24,Finland,16789
2022-01-24,France,1694709
2022-01-24,Greece,107004
2022-01-24,Hungary,132824
2022-01-24,Ireland,13357
2022-01-24,Israel,403469
2022-01-24,Italy,519293
2022-01-24,Japan,246315
2022-01-24,Latvia,14510
2022-01-24,Lithuania,25236
2022-01-24,Luxembourg,4789
2022-01-24,Mexico,52655
2022-01-24,Netherlands,151177
2022-01-24,New Zealand,0
2022-01-24,Norway,50679
2022-01-24,Poland,236771
2022-01-24,Portugal,312880
2022-01-24,Slovakia,85451
2022-01-24,Slovenia,17005
2022-01-24,South Korea,168500
2022-01-24,Spain,342960
2022-01-24,Switzerland,104777
2022-01-24,Taiwan,44261
2022-01-24,Turkey,401636
2022-01-24,United Kingdom,1437882
2022-01-24,United States,1225691
