Date,Country,NumberOfTest
2021-08-31,Australia,210646
2021-08-31,Austria,274462
2021-08-31,Belgium,49473
2021-08-31,Canada,63438
2021-08-31,Chile,26111
2021-08-31,Colombia,48074
2021-08-31,Costa Rica,7894
2021-08-31,Czechia,91421
2021-08-31,Denmark,64893
2021-08-31,Estonia,4777
2021-08-31,Finland,29055
2021-08-31,France,643055
2021-08-31,Greece,108677
2021-08-31,Hungary,5618
2021-08-31,Iceland,3309
2021-08-31,Ireland,18258
2021-08-31,Israel,162317
2021-08-31,Italy,371029
2021-08-31,Japan,115429
2021-08-31,Lithuania,15420
2021-08-31,Luxembourg,4957
2021-08-31,Mexico,34607
2021-08-31,New Zealand,16755
2021-08-31,Norway,37643
2021-08-31,Poland,85209
2021-08-31,Portugal,51210
2021-08-31,Slovakia,22929
2021-08-31,Slovenia,3789
2021-08-31,South Korea,60600
2021-08-31,Sweden,33806
2021-08-31,Switzerland,31967
2021-08-31,Taiwan,28280
2021-08-31,Turkey,297167
2021-08-31,United Kingdom,911533
2021-08-31,United States,1638757
