Date,Country,NumberOfTest
2021-10-02,Australia,0
2021-10-02,Austria,225990
2021-10-02,Belgium,42373
2021-10-02,Canada,120803
2021-10-02,Chile,66943
2021-10-02,Colombia,45296
2021-10-02,Costa Rica,6594
2021-10-02,Czechia,43230
2021-10-02,Denmark,22650
2021-10-02,Estonia,4021
2021-10-02,Finland,9200
2021-10-02,France,527561
2021-10-02,Germany,0
2021-10-02,Greece,0
2021-10-02,Hungary,0
2021-10-02,Iceland,993
2021-10-02,Ireland,20529
2021-10-02,Israel,65124
2021-10-02,Italy,423243
2021-10-02,Japan,53800
2021-10-02,Lithuania,12603
2021-10-02,Luxembourg,1846
2021-10-02,Mexico,8173
2021-10-02,Netherlands,0
2021-10-02,New Zealand,0
2021-10-02,Norway,4459
2021-10-02,Poland,72086
2021-10-02,Portugal,31889
2021-10-02,Slovakia,21603
2021-10-02,Slovenia,2440
2021-10-02,South Korea,0
2021-10-02,Sweden,20461
2021-10-02,Switzerland,33404
2021-10-02,Taiwan,17871
2021-10-02,Turkey,352162
2021-10-02,United Kingdom,720871
2021-10-02,United States,988109
